text,is_biased
"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.",0
"Coach Guerrier adds that the referee’s continued mid-game scrutiny ultimately made “a spectacle” of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.",0
"Last week, another major advancement for women in professional sports occurred when Alyssa Nakken joined the San Francisco Giants as an assistant coach, becoming the first woman to be a part of a Major League Baseball coaching staff.",0
"While each sport has its own rules with regards to religious headwear, Muslim women who compete while wearing a hijab have faced a litany of obstacles.",1
"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. ",0
"While the major baseball leagues won’t be affected much by tariffs on Chinese imports, everyone from Double A players down through the office softball team will be.",1
"Despite achieving a historic position of leadership in the highest level of national football, Sowers said she experienced LGBTQ discrimination in sports while in college, when was rejected from a volunteer coaching job because of her “lifestyle.”",0
"Proponents of better compensation and labor rights for college athletes have hammered the NCAA on numerous fronts over the last decade, with federal lawsuits, attempts to unionize, legislation in statehouses and Congress, and new leagues that aim to compete for top-tier athletes by paying them more than the NCAA allows.",1
"After spending the past three months rehabilitating from arthroscopic surgery on his right knee, Williamson struggled to find his shot during the first three quarters, during which he played a little less than 12 minutes.",0
Girls and women do not have the same access to sports — and the profits and privileges and opportunities that come with them — as boys and men.,0
The Brazilian superstar’s career is a testament to what’s possible in women’s soccer — and also a reminder of how little attention the sport still receives.,0
It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to cut their often-astronomical wages.,1
Sports writer Rick Reilly is challenging President Donald Trump to put his money where his mouth is.,0
"Yes, there may still be time for the union's membership to change its thinking if the players reject the proposal, but at least one marketing expert said a ""no"" vote now could mean short- and long-term disaster.",0
"When the men’s basketball Final Four tips off Saturday in Minneapolis, the NCAA’s biggest and most lucrative event will proceed as it normally does: the athletes on the floor for Virginia and Auburn, Michigan State and Texas Tech, will play games that generate hundreds of millions of dollars in total revenue for their schools, the NCAA and broadcast companies, the coaches and athletic directors, TV executives and NCAA suits will share in the riches but athletes themselves still won’t receive their fair share ― and thanks to a recent federal court decision, that won’t change in the immediate future. ",0
"Procter and Gamble, a major sponsor of the US Women’s National Soccer team, has backed the players in their fight for equal pay, with a public donation of $529,000.",0
"Yes, there may still be time for the union's membership to change its thinking if the players reject the proposal, but at least one marketing expert said a ""no"" vote now could mean short- and long-term disaster.",0
"Procter and Gamble, a major sponsor of the US Women’s National Soccer team, has backed the players in their fight for equal pay, with a public donation of $529,000.",0
"Although duties set to kick in soon will affect all manner of sports equipment that hasn’t been made in America for decades, baseball enthusiasts are perhaps affected most because so many items are needed to play the game.",0
Sports writer Rick Reilly is challenging President Donald Trump to put his money where his mouth is.,0
"Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.",0
"After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.",0
"Most hobbyist rock climbers lack the basic rescue skills needed to save themselves in dangerous situations, a study suggests.",0
"Most hobbyist rock climbers lack the basic rescue skills needed to save themselves in dangerous situations, a study suggests.",0
NBA players once again will be sharing personal stories this weekend during All-Star festivities — and using basketball shoes as a platform to get their message out.,0
"WADA wants to investigate all the athletes who trained with banned coach Alberto Salazar at the Nike Oregon Project, one of which was Britain’s Farah, the 5,000m and 10,000m champion at both the London 2012 and Rio de Janeiro 2016 Games.",0
The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).,0
"Bryce Harper, who signed the richest free-agent contract in baseball history, a cool $330 million, was being unveiled for the first time in a Phillies uniform.",0
The positive test for a banned substance comes as a major embarrassment to Australian swimming given the headline-grabbing podium protest that 400 freestyle silver medalist Mack Horton made on Sunday over Sun Yang’s participation at the worlds.,0
"As the United States women’s national team clinched their fourth World Cup title on Sunday, fans across New York City gathered at local watering holes and match parties, striking an optimistic tone about the future of the women’s game.",0
"Bryce Harper, who signed the richest free-agent contract in baseball history, a cool $330 million, was being unveiled for the first time in a Phillies uniform.",0
"Women were allowed into Saudi sports stadiums a year ago for the first time to watch soccer matches, although they were segregated in the stands, sticking to the ""family section"" away from all-male crowds elsewhere.",0
"Strava, which tracks the sports activity trends of some 50 million people in almost 200 countries, surveyed 25,000 runners and found that half of them say they either hate it or barely tolerate it, while only 8% love it.",0
Sexual abuse gymnasts have made it clear they will not accept a settlement offer from USA Gymnastics that releases the U.S. Olympic and Paralympic Committee (USOPC) without it making a significant financial contribution.,0
