text,is_left,is_center,is_right
Olympic swimming champion Cameron van der Burgh said he has been battling the coronavirus for the last two weeks.,1,0,0
The organization named Leung as its new president and chief executive officer on Tuesday as it fights to retain its status as the national governing body for the sport after the Larry Nassar sexual abuse scandal.,1,0,0
"With the Olympic Games postponed until 2021 and cinemas closed across the country, whole segments of the advertising market have evaporated.",1,0,0
"With more than 80,000 reported cases of the disease, the viral outbreak continues to create uncertainty about future competitions, from track and field and Formula 1 to the ultimate global event, the 2020 Tokyo Olympics.",1,0,0
"After days of mounting pressure, the top soccer clubs in Britain said Friday they would ask their players to take a 30 percent pay cut as the sport grapples with the damaging fallout from the coronavirus crisis.",1,0,0
"Some of Europe's biggest clubs, such as FC Barcelona in Spain and Juventus in Italy — two of the hardest-hit countries — have already agreed to hefty wage cuts with their stars.",1,0,0
"Although U.S.-based sporting goods companies now produce almost none of their own gear, increasing the cost of imports from China could still jeopardize thousands of U.S. white collar jobs in design, product development, and sales and marketing.",1,0,0
Jay-Z and the NFL began teaming up as part of a social justice initiative announced last summer in the wake of the controversy over players kneeling during the national anthem to protest racial injustice.,1,0,0
"After spending the past three months rehabilitating from arthroscopic surgery on his right knee, Williamson struggled to find his shot during the first three quarters, during which he played a little less than 12 minutes.",1,0,0
The Brazilian superstar’s career is a testament to what’s possible in women’s soccer — and also a reminder of how little attention the sport still receives.,1,0,0
"Procter and Gamble, a major sponsor of the US Women’s National Soccer team, has backed the players in their fight for equal pay, with a public donation of $529,000.",1,0,0
The disqualification was emblematic of what many women who wear hijabs go through while participating in sports.,1,0,0
"Coach Guerrier adds that the referee’s continued mid-game scrutiny ultimately made “a spectacle” of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.",1,0,0
"Athletes and fans are excited for Sowers' historic role at Super Bowl LIV and have remarked that her position is especially poignant given there have only been 13 out gay and bi players in the NFL's 100-year history, according to OutSports.",1,0,0
"Although duties set to kick in soon will affect all manner of sports equipment that hasn’t been made in America for decades, baseball enthusiasts are perhaps affected most because so many items are needed to play the game.",1,0,0
