title,content,is_subjective
"Taktik Gila Hamas Ladeni Agresi Israel di Gaza, Disebut Makin Canggih","Milisi Hamas Palestina disebut menggunakan taktik yang lebih canggih selama dua bulan melawan agresi Israel ke Jalur Gaza yang berlangsung sejak 7 Oktober. Lembaga think tank berbasis di Washington D.C, Institute for the Study of War (ISW), memaparkan Hamas dan milisi sekutunya di Gaza terus menerapkan taktik yang lebih canggih untuk melawan Israel terutama sejak gencatan senjata berakhir dan perang memasuki fase baru. ISW menganalisis bahwa milisi Hamas fokus melakukan serangan yang menargetkan pasukan Israel di belakang garda terdepan mereka. Menurut lembaga itu, strategi ini konsisten dengan ""strategi pembersihan"" atau clearing operations. Menurut ISW, milisi Hamas juga semakin sering menggunakan peledak rakitan hingga ranjau jenis claymore saat menyerang pasukan dan tank-tank Israel. Pada 5 Desember, ISW juga melaporkan sayap bersenjata Hamas, Brigade Al Qassam, meluncurkan setidaknya enam roket ke wilayah Israel termasuk salah satu roket salvo yang menargetkan Ibu Kota Tel Aviv. ISW juga menyebut milisi Hama sempat merekam isi barak militer Israel, di mana tentara negara Zionis terlihat sedang bersantai di dekat Juhor ad Dik. ""Kelompok (Hamas) ini bahkan mengklaim mereka memenuhi sebuah terowongan bawah tanah di bawah barak militer dengan bahan peledak dan meledakannya ketika ada sekitar 60 tentara Israel di sana,"" bunyi laporan ISW. Meski begitu, ISW juga memaparkan bahwa militer Israel terlihat tak tinggal diam. Menurut lembaga tersebut, Israel berupaya melancarkan invasi darat ke Gaza selatan sama seperti yang mereka lakukan d awal agresinya dengan fokus menggempur Gaza Utara. ISW meyakini Komandan Komando Selatan militer Israel saat ini memfokuskan gempuran untuk mengepung dan merangsek lebih dalam lagi ke Khan Younis, kota terbesar di Gaza Selatan. ""Pasukan Israel memasuki wilayah perkotaan di Khan Younis dan Bani Suheila. Pasukan milisi Palestina, termasuk Brigade al Qassem dan Brigade al Quds, berusaha melawan serangan Israel ke wilayah Khan Younis,"" bunyi laporan ISW. Israel kembali melancarkan agresinya ke Jalur Gaza setelah masa gencatan senjata berakhir tanpa perpanjangan.Israel bahkan memulai ""perang fase baru"" dengan kini fokus menggempur Gaza selatan yang diklaim menjadi sarang pelarian pentolan Hamas yang kabur dari Gaza utara imbas gempuran di awal agresi sejak 7 Oktober lalu. Saat ini, lebih dari 16 ribu warga Palestina meninggal dunia akibat agresi Israel sejak 7 Oktober lalu. Sebagian besar korban tewas itu anak-anak dan perempuan. Tak hanya warga sipil, petugas medis, dan dokter di Gaza juga ikut tewas menyusul gempuran Israel ke sejumlah rumah sakit di Gaza selama agresi. Selain itu, sebanyak 63 wartawan dan pekerja media di Gaza juga tewas selama meliput agresi Israel ke Palestina. Militer Israel mengakui bahwa dua warga Palestina tewas dalam setiap operas militer Israel yang menewaskan satu milisi Hamas. ",0
"Soal Revitalisasi Pasar Anyar, Pengamat: Bukti Keberpihakan Pemerintah pada Pedagang dan Masyarakat"," Pengamat politik Universitas Muhammadiyah Tangerang (UMT) Memet Chumaidi menilai bahwa revitalisasi Pasar Anyar adalah langkah tepat yang perlu dan sudah seharusnya dilakukan, mengingat kondisi pasar yang sudah memprihatinkan. ""Revitalisasi Pasar Anyar adalah bukti keberpihakan pemerintah tidak hanya kepada pedagang, tetapi juga masyarakat, yang setiap hari belanja di pasar kebanggan warga kota Tangerang tersebut,"" tutur Memet melalui keterangan persnya, Rabu (6/12/2023). Menurutnya, revitalisasi merupakan langkah konkret pemerintah untuk memperindah pasar yang bisa meningkatkan nilai ekonomi, daya beli, dan omzet. ""Keberpihakan Pemkot Tangerang pada pedagang juga terlihat dari proses relokasi yang difasilitasi secara penuh. Diketahui, lokasi relokasi disiapkan di Plaza Shinta, Mal Metropolis Town Square, Pasar Jatake, Pasar Banjar Wijaya dan Pasar Laris Cibodas,"" jelasnya. Memet mengatakan, Kota Tangerang dengan segala kemajuannya sudah seharusnya menyajikan pasar tradisional berstandar modern. ""Harusnya, dengan hasil nyata pasca revitalisasi Pasar Anyar Tangerang nanti, para pedagang dan warga welcome atau terbuka, demi keberlangsungan dan kemajuan Pasar Anyar Tangerang yang lebih signifikan, untuk kita semua,” tegasnya. Ia pun mengapresiasi langkah Pemerintah Kota (Pemkot) Tangerang serta kolaborasinya dengan Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) untuk merevitalisasi pasar. Diketahui, Pasar Anyar Tangerang merupakan salah satu ikon Kota Tangerang yang masih belum direnovasi hingga saat ini. Saat ini, kondisi pasar terlihat sudah dimakan usia. Hal itu, dapat terlihat dari banyaknya kerusakan fisik yang terjadi, mulai dari kerusakan keramik lantai terangkat, cat mengelupas, atap bolong, lampu utama yang mati, serta banyaknya kios yang kurang rapi. Semua kondisi ini membuat pasar terlihat kumuh. Pemkot Tangerang bersama Kementerian PUPR pun berusaha melakukan revitalisasi pasar. Para pedagang yang berjualan berangsur-angsur pindah ke lokasi yang telah disiapkan. Contohnya, pedagang emas pindah ke Mal Metropolis Town Square dan pedagang pakaian serta tekstil yang pindah sementara ke Metropolis Town Square dan Plaza Shinta. ",0
Kaki Ayah Britney Spears Diamputasi karena Infeksi," Ayah penyanyi Britney Spears, Jamie Spears (71), menjalani prosedur amputasi kaki setelah salah satu kakinya mengalami infeksi. Dilansir ET Online, prosedur tersebut dilakukan pada bulan November dan merupakan upaya terakhir dokter setelah lima operasi yang gagal untuk membendung infeksinya. Salah satu sumber mengatakan kepada Page Six, infeksi parah terjadi setelah Jamie Spears menjalani operasi penggantian sendi lutut pada awal tahun ini. Pada Oktober 2023, Jamie menjalani masa pemulihan di fasilitas rawat jalan setelah dirawat di rumah sakit karena infeksi bakteri dan membuatnya sakit parah. Dia sempat dipindahkan ke fasilitas rawat jalan penyakit menular karena penyakitnya. Jamie hidup terasing dari Britney (42) dalam beberapa tahun terakhir setelah pertarungan untuk mengakhiri konservatori atas dirinya pada 2021. Saat itu, Britney menjadi berita utama lantaran memberikan kesaksian yang luar biasa di sidang. Ia mengaku hanya ingin mengakhiri konservatori tanpa dievaluasi serta mendapatkan kembali kendali atas hidupnya. Dia juga mengungkapkan sejumlah tuduhan mengejutkan tentang ayahnya dan timnya. Konservatori Britney akhirnya dihentikan pada November 2021 setelah 13 tahun. Jamie diskors dari perannya sebagai konservator. ",0
"Tolak Gubernur ""Give Away"" untuk Jakarta, PKS: Bisa Saja yang Dipilih Keluarga Presiden","JAKARTA,  Juru Bicara Partai Keadilan Sejahtera (PKS) Muhammad Iqbal menegaskan, pihaknya menolak usulan gubernur dan wakil gubernur di Jakarta ditunjuk oleh presiden seperti tertuang dalam Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ). Iqbal mengatakan, usulan tersebut merupakan sebuah kebijakan yang rawan menjadi ajang kolusi, korupsi, dan nepotisme (KKN). ""PKS tolak gubernur give away di Jakarta, berpotensi KKN,"" ujar Iqbal saat dimintai konfirmasi, Rabu (6/12/2023). Menurut Iqbal, usulan ini menjadi sebuah kemunduran bagi demokrasi. Dia mengatakan, jumlah penduduk Jakarta yang mencapai 12 juta jiwa dengan APBD hampir Rp 80 triliun harus dipimpin orang yang kompeten dan memiliki legitimasi oleh rakyat. Iqbal khawatir pemimpin di Jakarta yang dipilih kelak malah orang-orang yang tidak kompeten. “Bisa saja suatu saat presiden atau partai pemenang menunjuk keluarga, kerabat atau orang yang tidak memiliki kompetensi memimpin. Dan ini adalah sebuah celah terjadinya KKN yang melawan amanat reformasi,"" tutur dia. Maka dari itu, kata Iqbal, PKS dengan tegas menolak RUU DKJ ini karena dibuat secara terburu-buru tanpa kajian yang mendalam, dapat merugikan warga Jakarta, dan menurunkan kualitas demokrasi di Indonesia. ""PKS sejak awal menolak Undang-Undang IKN, sejak awal konsisten agar Ibu kota tetap di Jakarta dan gubernur serta wakilnya harus dipilih oleh rakyat. Bukan ditunjuk presiden,"" ujar Iqbal. Sebelumnya, Ketua Panitia Kerja (Panja) DPR terkait Rancangan Undang-Undang (RUU) Daerah Khusus Jakarta (DKJ) Achmad Baidowi membenarkan bahwa kemungkinan Pemilihan Kepala Daerah di DKI Jakarta dihilangkan setelah tidak lagi menjadi Ibu Kota Negara. Hal ini mengacu pada draf RUU DKJ yang telah ditetapkan sebagai usul inisiatif DPR dalam rapat paripurna. Pasal 10 ayat 2 draf RUU DKJ berbunyi: ""Gubernur dan Wakil Gubernur ditunjuk, diangkat, dan diberhentikan oleh Presiden dengan memperhatikan usul atau pendapat DPRD"". Meski menghilangkan pilkada langsung, pria yang karib disapa Awiek itu menegaskan bahwa proses demokrasi tetap berlangsung melalui usulan DPRD. ""Untuk menjembatani keinginan politik antara yang menginginkan kekhususan ditunjuk secara langsung dan kedua supaya kita tidak melenceng dari konstitusi, cari jalan tengah bahwa gubernur Jakarta itu diangkat, diberhentikan oleh presiden dengan memperhatikan usulan atau pendapat dari DPRD,"" kata Awiek di Kompleks Parlemen Senayan, Jakarta, Selasa (5/12/2023). ""Sehingga usulan atau pendapat dari DPRD itu DPRD akan bersidang siapa nama-nama yang akan diusulkan. Itu proses demokrasinya di situ,"" ucap dia. Awiek mengatakan, setelah tak lagi menjadi Ibu Kota Negara, Jakarta tetap memiliki kekhususan sebagai daerah. Menurut dia, hal itu kemudian dimaknai dengan jalannya sistem pemerintahan yang khusus. Berkaitan dengan hal itu, Panja RUU DKJ berkeinginan untuk tidak perlu mengadakan pilkada di DKJ. ""Awalnya memang ada keinginan sudah lah enggak usah ada pilkada langsung tunjuk, tapi kita mengingatkan di Pasal 18A-nya disebutkan kalau memang nomenklaturnya itu adalah daerah otonom, maka kepala daerah itu dilakukan pemilihan secara dilakukan melalui proses demokratis,"" imbuh Awiek. ""Pemilihan tidak langsung juga bermakna demokrasi, jadi ketika DPRD mengusulkan ya itu proses demokrasinya di situ. Sehingga tidak semuanya hilang begitu saja,"" pungkas Ketua DPP Partai Persatuan Pembangunan (PPP) ini. ",0
Ganjar Bicara Lahan Pertanian Makin Tergerus: Butuh Strong Leadership,"Capres nomor urut 3 Ganjar Pranowo berbicara terkait lahan pertanian yang semakin tergerus oleh pertambangan. Ganjar mengatakan akan menindak pihak-pihak yang membuat lahan pertanian habis dan berubah menjadi pertambangan jika terpilih menjadi Presiden 2024. ""Ya ditindak, kalau sudah begitu, harus ada tindakan. Kan itu cerita penegakan karena sudah ada aturannya kan. Harus ada penegakan hukum. Dan hukumnya mesti berani untuk menindak itu semua,"" kata Ganjar di Hotel Claro, Kendari, Sulawesi Tenggara, Minggu (3/12/2023). Ganjar berkomitmen untuk melaksanakan UU terkait lahan pertanian. Dia menyebut lahan pertanian harus dijaga ketat. ""Godaannya biasanya adalah, satu, suap, sehingga orang akan mengambil lahan-lahan yang sebenarnya secara patok atau regulasinya nggak boleh diambil,"" ungkapnya. Selain itu, kata dia, juga ada faktor tekanan yang membuat lahan pertanian semakin tergerus. Ganjar menilai perlu adanya pemimpin yang berani agar tidak tergoda dan tahan tekanan. ""Yang kedua, kadang-kadang ada tekanan-tekanan. Di sini butuh pemimpin-pemimpin yang punya strong leadership, dia berani dan menjaga integritas. Kalau nggak, pasti akan tergoda,"" ujarnya. Ganjar kemudian berbicara solusi untuk para petani. Menurut dia, salah satu solusi ialah membuat pabrik pupuk. Selain itu, Ganjar mengatakan perlu adanya edukasi kepada para petani terkait pupuk yang bagus dan baik untuk digunakan. Selanjutnya, kata dia, sistem dan data pun perlu diperbaiki. ""Saya kira tinggal sistem, tata cara mereka mendaftarkan, mendapatkan legalitas, itulah yang dari Kementerian Pertanian bisa menyiapkan jauh lebih mudah. Saya kira, ini akan jauh lebih banyak membantu petani,"" tuturnya. ",1
Kebijakan Fiskal Industri Jalan Tol Perlu Disempurnakan,"JAKARTA, Sebagai salah satu sektor strategis dan prioritas, kebijakan fiskal di industri jalan tol perlu disempurnakan dengan profesional dan optimal. Ketua Umum Asosiasi Jalan Tol Indonesia ATI Subakti Syukur mengatakan hal tersebut harus dilakukan untuk memberikan jaminan terhadap keberlangsungan bisnis jalan tol. Hal tersebut disampaikan Subakti dalam opening speech dalam Focus Group Discussion (FGD) tentang penyempurnaan realisasi Pajak Bumi dan Bangunan (PBB)-P2 di jalan tol. “Industri jalan tol saat ini berkembang dengan dinamika yang sangat cepat. Target pembangunan dan pengembangan jaringan jalan telah memunculkan tantangan besar dari aspek pembiayaan yang mempengaruhi sustainability bisnis jalan tol,” ujar Subakti di Jakarta, Selasa (5/12/2023). Dikatakan, sebagaimana yang telah diterapkan di industri pionir lainnya, pemberian insentif tertentu di sektor jalan tol seperti tax holiday maupun tax allowance dapat menjadi daya tarik investasi. Ia berharap ke depannya penghitungan objek PBB yang menjadi dasar Nilai Jual Objek Pajak (NJOP) oleh Pemerintah Daerah dapat seragam dengan memperhitungkan Badan Usaha Jalan Tol (BUJT) yang tidak lagi mendapatkan pendapatan non-tol terkait pengelolaan utilitas dan iklan di Ruas Milik Jalan Tol (Rumija). Hal ini berdasarkan Pasal 6B dalam Amandemen Perjanjian Pengusahaan Jalan Tol (PPJT) terkait Pemanfaatan Ruang Milik Jalan Tol bahwa pendapatan atas pemanfaatan Rumija disetorkan ke kas negara sebagai penerimaan negara bukan pajak (PNBP). Pada kesempatan yang sama, Direktur Bisnis Jasa Marga Reza Febriano menjelaskan, PBB-P2 merupakan pajak yang dipungut oleh Pemerintah Kabupaten/Kota melalui penetapan Kepala Daerah berdasarkan Peraturan Daerah masing-masing. Pemungutan pajak akan tertuang dalam Surat Pemberitahuan Pajak Terutang (SPPT) yang di dalamnya menetapkan pengenaan tarif dan NJOP, dimana jalan tol merupakan salah satu Objek Pajak Khusus PBB-P2. Menurut Reza, realisasi PBB-P2 khususnya di jalan tol Jasa Marga Group baik induk maupun anak Perusahaan,mengalami tren fluktuasi kenaikan dalam lima tahun terakhir. “Hal ini sebagai dampak dari penyesuaian tarif dan juga NJOP dari setiap Kabupaten/Kota yangberbeda-beda sesuai dengan Peraturan Pemerintah Daerah masing-masing,” paparnya. Reza berharap, FGD ini menjadi wadah untuk memberikan masukan yang membangun, baik untuk para pemangku kepentingan yaitu Kementerian Keuangan, Kementerian Dalam Negeri, Kementerian PUPR serta seluruh pelaku usaha yaitu BUJT di Indonesia yang tergabung dalam ATI. Senada dengan Subakti, Reza pun mengusulkan agar industri jalan tol juga mendapat dukungan dari Pemerintah dalam bentuk kebijakan fiskal, agar dapat terus berkembang dan menarik investor. ATI bersama Jasa Marga dan BUJT lainnya di Indonesia juga akan terus mendukung setiap langkah penyempurnaan terhadap kebijakan fiskal di industri jalan tol, seiring dengan kontinuitas pembangunan Nasional dan daerah secara berkelanjutan. ",0
"Hari Ketiga di NTT, Jokowi Akan Resmikan Rumah Sakit, SPAM, dan Katedral","JAKARTA,  Presiden Joko Widodo melanjutkan rangkaian kunjungan kerja hari ketiganya di Kota Kupang, Provinsi Nusa Tenggara Timur (NTT), pada Rabu (6/12/2023). Dilansir siaran pers Sekretariat Presiden, Presiden Jokowi dijadwalkan mengunjungi Pasar Oebobo guna mengecek harga sejumlah kebutuhan pokok. Setelahnya, Presiden diagendakan untuk melaksanakan penanaman pohon bersama masyarakat. Selain itu, Kepala Negara juga akan mengunjungi SMK Negeri 5 Kupang untuk meninjau fasilitas dan kegiatan belajar di sana. Kemudian, Presiden Jokowi juga direncanakan untuk mengecek persediaan beras serta membagikan bantuan pangan cadangan beras pemerintah (CBP) kepada sejumlah keluarga penerima manfaat (KPM) di Gudang Bulog Baru Tenau. Dalam kunjungannya di Kota Kupang, Presiden juga akan meresmikan sejumlah infrastruktur, yakni Rumah Sakit Umum Pusat (RSUP) dr. Ben Mboi, Sistem Penyediaan Air Minum (SPAM), dan Gereja Katedral Keuskupan Agung Kupang. Usai melaksanakan seluruh rangkaian kegiatan di Kota Kupang, Presiden Jokowi bersama rombongan dijadwalkan untuk kembali bertolak ke Jakarta pada Rabu siang. Turut mendampingi Presiden dalam kunjungan kerjanya di Kota Kupang yakni Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono. Sebelumnya, Presiden Jokowi sudah berada di NTT sejak Senin (4/12/2023). Kedatangan Jokowi ke NTT kali ini adalah dalam rangka kunjungan kerja. Pada Selasa (5/12/2023), Kepala Negara melakukan sejumlah kegiatan di NTT, yakni meninjau perkembangan pembangunan Bendungan Mbay, mengecek harga pangan di pasar, menanam pohon, dan membagikan bantuan beras kepada masyarakat. Lalu, pada Selasa malam, Presiden Jokowi menikmati malam di Kota Kupang dengan berkumpul bersama masyarakat di Pantai Kelapa Lima. ",0
"Ada Demo Apdesi di Depan DPR, Lalin Arah Slipi Terpantau Padat","Terdapat aksi demo di depan DPR pagi ini. Imbasnya, lalu lintas di depan DPR arah Slipi dilaporkan mengalami kepadatan. ""Situasi arus lalu-lintas di depan MPR / DPR Jl. Gatot Subroto arah Slipi terpantau ramai cenderung padat,"" demikian dikutip dari akun X, TMC Polda Metro Jaya @TMCPoldaMetro, Selasa (5/12/2023). Berdasarkan video yang diunggah oleh TMC Polda Metro, petugas kepolisian telah berada di lokasi untuk mengatur lalu lintas. Terlihat massa demo mulai berkumpul di lokasi, sejumlah massa terlihat memakai baju putih. Terlihat pula spanduk dengan tulisan 'DPR Itu Wakil Rakyat Bukan Wakil Partai' yang dipasang massa di pagar DPR dan di truk yang ada di lokasi. Sementara itu, Kapolres Metro Jakarta Pusat, Kombes Susatyo Purnomo Condro saat dikonfirmasi terpisah mengatakan massa demo tersebut datang dari Apdesi (Asosiasi Pemerintah Desa Seluruh Indonesia). ""Massa dari Apdesi, terkait revisi UU desa,"" kata Susatyo. Ia mengatakan pengalihan arus lalu lintas dapat diberlakukan tergantung situasi. ""Pengalihan arus lalin situasional,"" ujarnya. Simak juga 'Kala Ucapan 'Bikin Macet' Imbas Demo Buruh Berujung Sopir Truk Dipukuli': ",0
"Terima Perwakilan Apdesi, Puan Janji Bentuk Pokja Bahas Revisi UU Desa","Ketua DPR Puan Maharani dan Wakil Ketua DPR Sufmi Dasco Ahmad menerima audiensi perwakilan Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) yang menggelar demonstrasi di depan gedung DPR, Senayan, Jakarta, hari ini. Puan mengatakan pihaknya telah mendengarkan aspirasi dari perwakilan kepala desa (kades) terkait revisi UU Desa. ""Saya dan Pak Dasco menemui perwakilan dari organisasi kepala desa untuk membicarakan dan mendengarkan aspirasi yang mereka harapkan terkait dengan revisi Undang-Undang Desa,"" kata Puan seusai pertemuan di gedung DPR, Senayan, Selasa (5/12/2023). Puan mengatakan pertemuan itu menyepakati pembentukan kelompok kerja (pokja). Nantinya, pokja itu diisi oleh perwakilan dari DPR, pemerintah, dan organisasi kades untuk membahas revisi UU Desa. ""Jadi kami sudah menyepakati pada hari ini bahwa akan memulai dilakukan koordinasi dan membentuk kelompok kerja bersama antara DPR dengan perwakilan organisasi kepala desa untuk bisa membahas bersama-sama hal-hal yang diharapkan atau menjadi aspirasi dari para kepala desa terkait dengan revisi RUU Desa,"" kata Puan. ""Dan insyaallah ini akan kita jalankan bersama sambil mengikuti mekanisme yang ada, tata tertib yang ada di DPR, dan juga koordinasi dengan pemerintah terkait dengan hal-hal yang ingin dibicarakan,"" katanya. Puan mengatakan pihaknya belum memutuskan alat kelengkapan Dewan (AKD) yang akan dilibatkan dalam pokja tersebut. Dia mengatakan AKD itu kemungkinan akan melibatkan Komisi II DPR atau Badan Legislasi (Baleg) DPR. ""Sampai saat ini kami belum melakukan akan putuskan di mana saat ini kan masih apakah itu nanti di Komisi II atau di Baleg. Namun yang pasti mulai besok sudah, DPR sudah melakukan masa reses, karena itu pimpinan DPR kemudian akan nantinya berkoordinasi dengan AKD terkait untuk kemudian memulai koordinasi atau membentuk pokja-pokja yang ada. Ini kan harus dibicarakan dulu sesuai dengan mekanismenya,"" jelas Puan. ""Apakah itu dilakukan saat reses, kami tadi juga sudah menyepakati dalam pertemuan bahwa akan ada pertemuan pertemuan informal untuk kemudian menyamakan persepsi atau pemikiran dan aspirasi dari kedua belah pihak,"" lanjutnya. Diketahui, perwakilan massa Apdesi menggelar demonstrasi di gedung DPR hari ini. Mereka menuntut revisi Undang-Undang Nomor 6 Tahun 2014 tentang Desa segera disahkan. ",0
Taylor Swift Masuk 5 Besar Most Powerful Women 2023 Versi Forbes,"Taylor Swift masuk dalam lima besar daftar 100 Most Powerful Women versi Forbes. Ia menduduki posisi kelima mengikuti sejumlah tokoh perempuan lainnya, salah satunya Wakil Presiden AS Kamala Harris yang berada di posisi ketiga. Sedangkan, posisi pertama diisi oleh Ursula von der Leyen yang merupakan Presiden Presiden Komisi Eropa, diikuti oleh Presiden Bank Sentral Eropa Christina Lagarde, dan Perdana Menteri Italia Giorgia Meloni di posisi keempat. Peringkat Swift merangkak jauh ke atas dari tahun lalu ketika dia masih duduk di peringkat 79. Meski demikian, Taylor Swift menduduki posisi puncak sebagai Most Powerful Women dalam kategori Media & Entertainment. Taylor Swift resmi menjadi seorang miliarder per Oktober 2023 karena memiliki harta yang ditaksir tembus US$1,1 miliar atau Rp16,9 triliun (US$1=Rp15.550). Capaian ini membuat Swift menjadi musisi pertama yang menjadi miliarder hanya berdasarkan karya lagu dan penampilannya. Ia resmi menjadi miliarder di usia 33 tahun.  Berdasarkan laporan Forbes, Swift memiliki harta kekayaan berupa real estate sebesar sekitar US$125 juta. Selain itu, harta kekayaan Swift mencakup lebih dari US$500 juta hasil royalti dan tur konser, ditambah dengan katalog musik sebesar US$500 juta. ""Retrospeksi konser berdurasi tiga setengah jam dalam kariernya, tur Eras telah meraup hampir $850 juta selama 66 pertunjukan di AS. Tahap pertama tur telah menambahkan sekitar $190 juta, setelah pajak ke kas Swift sehingga meningkatkan kekayaan bersihnya menjadi $1,1 miliar,"" tulis Forbes dengan menambahkan The Eras Tour masih akan merambah ke Eropa dan Asia pada tahun depan. ""Yang lebih mengesankan dan berpotensi jauh lebih menguntungkan adalah cara dia mendapatkan kembali kepemilikan katalog lagunya dengan merekam ulang album-album yang merupakan bagian dari penjualan senilai US$300 juta yang menurut Swift dilakukan tanpa sepengetahuannya,"" tambahnya. Taylor Swift mengalahkan Oprah Winfrey yang menjadi Most Powerful Women kedua dari kategori yang sama. Pembawa acara televisi itu menduduki peringkat ke-31. Peringkat Winfrey tidak berubah sejak tahun lalu. Namun, posisinya itu turun dari tahun 2021 yang saat itu berada di peringkat ke-23. Selain keduanya, Beyonce Knowles dan Rihanna juga masih masuk ke dalam daftar 100 Most Powerful Women tahun ini. Beyonce berada di peringkat 36, sedangkan Rihanna berada di posisi ke-74. Dalam daftar 100 Most Power Women versi Forbes itu, majalah keuangan itu juga memasukkan nama Sri Mulyani Indrawati dan Nicke Widyawati yang mewakili Indonesia. Menteri Keuangan Sri Mulyani berada di posisi ke-47, sedangkan Dirut Pertamina Nicke Widyawati berada di posisi ke-51. ",0
