title,content,is_subjective
BPJS Ketenagakerjaan Bekerja Sama dengan ALB Kadin Berikan Perlindungan untuk Para Pekerja,"KOMPAS.com- Badan Penyelenggara Jaminan Sosial (BPJS) Ketenagakerjaan menjalin kerja sama perlindungan pekerja dengan 11 anggota luar biasa (ALB) Kamar Dagang dan Industri (Kadin). Kolaborasi ini dituangkan dalam bentuk perjanjian kerja sama (PKS) pada rangkaian Rapat Kerja Nasional (Rakernas) Kadin. Direktur Kepesertaan BPJS Ketenagakerjaan Zainudin mengatakan, kerja sama tersebut bertujuan untuk mendorong perluasan perlindungan pekerja sektor formal, khususnya dalam ekosistem anggota asosiasi. ""Negara hadir melalui BPJS Ketenagakerjaan untuk memberi perlindungan bagi pekerja dari risiko kecelakaan kerja, kemarian, hari tua, dan kehilangan pekerjaan,"" kata Zainudin dalam siaran pers yang diterima Kompas.com, Selasa (5/12/2023). Zainudin menjabarkan, hingga Oktober 2023, jumlah peserta aktif BPJS Ketenagakerjaan adalah 40,2 juta pekerja. Sebanyak 48 persen di antaranya berasal dari sektor informal atau penerima upah (PU). Oleh karena itu, diperlukan upaya bersama untuk mencapai target universal coverage sebanyak 70 juta pekerja pada2026 Zainudin menekankan, seluruh pekerja berhak mendapat seluruh perlindungan saat bekerja. ""Dengan adanya perlindungan BPJS Ketenagakerjaan, saya harap seluruh pekerja dapat meningkatkan produktivitas kerjanya dan dapat bekerja keras bebas cemas,"" tuturnya. Sementara itu, Menteri Perencanaan Pembangunan Nasional Republik Indonesia (RI) Suharso Monoarfa mengatakan, saat ini penurunan kemiskinan cenderung melambat. ""Salah satu penyebabnya adalah terbatasnya jumlah pekerja yang memiliki jaminan sosial ketenagakerjaan (jamsostek),"" tuturnya. Adapun 11 asosiasi yang dilakukan dalam kerja sama tersebut, yakni Asosiasi Perusahaan Konsultan Telematika Indonesia (ASPEKTI), Asosiasi Kimia Dasar Anorganik Indonesia (Akida), Asosiasi Bisnis Alih Daya (Abadi), Asosiasi Produsen Synthetic Fiber Indonesia (Apsyfi), dan Asosiasi Badan Usaha Jasa Pengamanan (Abujapi). Selain itu, Asosiasi Kontraktor Terintegrasi Indonesia (AKTI), Asosiasi Perusahaan Klining Servis Indonesia (Apklindo), Asosiasi Pengusaha Teknologi Identifikasi Indonesia (Aptisi), Asosiasi Pengusaha Penyedia Perkakas Indonesia (Aspeppi), Indonesia Foreign Investment Companies (Ifica), dan Asosiasi Perusahaan Pengendalian Hama Indonesia (Aspphami). ",0
Fraksi PDI-P DKI Sebut Biaya Pilkada Jangan Jadi Alasan Atur Penunjukan Langsung Gubernur Jakarta,"JAKARTA,  Anggota Fraksi PDI-P DPRD DKI Gilbert Simanjuntak mengatakan, mahalnya biaya pemilihan kepala daerah (pilkada) Jakarta tidak bisa dijadikan alasan untuk mengatur penunjukan langsung gubernur dan wakil gubernur oleh Presiden. Daftar pemilih tetap di Jakarta saat ini sekitar 8 juta orang. Menurut dia, jumlah ini terbilang lebih sedikit daripada provinsi lain di Indonesia yang memiliki puluhan juta pemilih. “Apabila pertimbangan karena faktor biaya Pilkada, maka dengan DPT sekitar 8 juta di Jakarta sebagai kota. Ini tidak ada artinya dengan DPT provinsi lain yang begitu luas dengan jumlah 28 juta lebih,” ujar Gilbert saat dikonfirmasi, Rabu (6/12/2023). Gilbert menegaskan, pilkada langsung oleh masyarakat merupakan amanat dari undang-undang dasar (UUD). “Sesuai UUD, presiden dibatasi kekuasaannya. pengangkatan menteri, duta besar, dan lainnya adalah wewenang presiden, tetapi tidak gubernur,” kata dia. Gilbert menambahkan, pemenang pilkada DKI harus memperoleh suara 50 persen lebih satu suara. Jika perolehan suara para paslon tidak mencapai angka tersebut, maka akan dilaksanakan putaran kedua. Diketahui, Gilbert mengkritik rancangan undang-undang (RUU) tentang Daerah Kekhususan Jakarta (DKJ) yang baru saja disetujui oleh DPR RI. Salah satu yang disorot Gilbert ialah Pasal 10 ayat 2 yang mengatur gubernur dan wakil gubernur nantinya ditunjuk dan diberhentikan Presiden RI. “Rakyat Jakarta mampu memilih sendiri gubernurnya. Jangan kebiri hak konstitusionalnya,” ujar Gilbert. Menurut Gilbert, semangat reformasi dan amandemen UUD yang ada selama ini mendukung persoalan otonomi daerah serta pilkada langsung. Namun, usulan untuk menghilangkan pemilihan gubernur Jakarta setelah tak lagi menjadi Ibu Kota, seolah bertolak belakang dengan semangat reformasi. “Salah satu alasan pilkada langsung adalah karena sentralistik orde baru yang mengangkat kepala daerah, sehingga isu saat itu adalah Militer, Jawa dan penunjukan Presiden. Sangat aneh apabila sekarang timbul ide neo orba untuk sentralistik,” kata Gilbert. Sebelumnya, Ketua Panitia Kerja (Panja) DPR terkait RUU DKJ Achmad Baidowi membenarkan bahwa kemungkinan pilkada di DKI Jakarta dihilangkan setelah tidak lagi menjadi Ibu Kota Negara. Hal ini mengacu pada draf RUU DKJ yang telah ditetapkan sebagai usul inisiatif DPR dalam rapat paripurna. Pasal 10 ayat 2 draf RUU DKJ berbunyi, ""Gubernur dan Wakil Gubernur ditunjuk, diangkat, dan diberhentikan oleh Presiden dengan memperhatikan usul atau pendapat DPRD"". Meski menghilangkan pilkada langsung, pria yang karib disapa Awiek itu menegaskan, proses demokrasi tetap berlangsung melalui usulan DPRD. ""Untuk menjembatani keinginan politik antara yang menginginkan kekhususan ditunjuk secara langsung dan kedua supaya kita tidak melenceng dari konstitusi, cari jalan tengah bahwa Gubernur Jakarta itu diangkat, diberhentikan oleh presiden dengan memperhatikan usulan atau pendapat dari DPRD,"" kata Awiek di Kompleks Parlemen Senayan, Jakarta. ",1
Beredar Video Abuya Muhtadi Ajak Masyarakat Dukung Gibran di Pilpres 2024,"Ulama karismatik asal Pandeglang, Banten, KH Ahmad Muhtadi Dimyati atau akrab disapa Abuya Muhtadi mendukung calon wakil presiden (cawapres) nomor urut 2 Gibran Rakabuming Raka di Pilpres 2024. Dia mengajak seluruh masyarakat untuk mendukung cawapres nomor urut 2 itu. Dukungan dan ajakan disampaikan Abuya Muhtadi melalui rekaman video. Abuya Muhtadi ikut membantu dan mendukung Gibran. ""Saya KH Ahmad Muhtadi Dimyati dari Pandeglang Banten mengimbau kepada masyarakat dari Sabang sampai Merauke untuk Mas Gibran, silakan. Saya ikut membantu dan ikut mendukung,"" kata Abuya Muhtadi dalam rekaman video yang dilihat, Sabtu (2/12/2023). Abuya Muhtadi berharap semua elemen masyarakat membantu Gibran dalam pemilu nanti. Mulai dari Sabang sampai Merauke. ""Mangga, masyarakat dari Sabang sampai Merauke mas Gibran mohon dibantu dari semua elemen, semua masyarakat saya mengharapkan sekali,"" ujarnya. Pada Minggu (4/12) malam, Abuya Muhtadi menyatakan dukungannya untuk pasangan capres dan cawapres Ganjar-Mahfud. Pernyataan dukungan tersebut disampaikan langsung di kantor pemenangan Ganjar-Mahfud di Kebon Sirih, Jakarta Pusat. ""Sebelumnya saya menyatakan bahwa saya itu (mendukung) ke Pak Ganjar-Mahfud. Kenapa Pak Mahfud? Dia itu kawan saya di PKB dulu dan menyatu sekali saya dengan Pak Mahfud,"" kata Abuya Muhtadi di kantor Pemenangan Ganjar-Mahfud di Kebon Sirih Jakarta Pusat,"" Minggu (4/12). Ketua Umum Majelis Mudzakaroh Muhtadi Cidahu Banten, Kiai Baden Hasan mengatakan, Abuya Muhtadi sebagai sebagai ulama di Banten menegaskan mendukung pasangan Ganjar Pranowo-Mahfud Md di Pilpres 2024. Kedatangan ke kantor pemenangan Ganjar-Mahfud tadi malam dan kesediaan menjadi penasihat pemenangan menurutnya penegasan posisi Abuya Muhtadi. Baden mengatakan, kesediaan Abuya menjadi penasihat TPN Ganjar-Mahfud membantah terkait dukungan ke pasangan Prabowo-Gibran. Ini terkait video yang beredar yang menyatakan masyarakat agar mendukung Gibran. ""Kaitan dengan video yang beredar atas isu dukungan Abuya terhadap Gibran, itu sebenarnya sudah terbantahkan dengan Abuya semalam di TPN Ganjar-Mahfud bahkan beliau sudah menjadi bagian atau dijadikan dewan penasihat TPN Ganjar-Mahfud,"" kata Kiai Baden di Serang, Senin (4/12). ",1
"Ulang Tahun ke-27, BNI Life Catatkan Kinerja Keuangan Sehat","PT BNI Life Insurance (BNI Life) memperingati ulang tahunnya yang ke-27 bukan hanya dengan berbagai kegiatan, tapi juga kinerja yang mengesankan hingga Oktober 2023. Plt. Direktur Utama BNI Life Eben Eser Nainggolan mengungkapkan rasa terima kasih kepada seluruh nasabah yang telah setia dan senantiasa mempercayakan perlindungan asuransinya kepada BNI Life. Ia juga mengatakan rentang 27 tahun perjalanan telah menjadikan perusahaan percaya diri untuk terus melangkah sehingga BNI Life terus diakui di industri asuransi jiwa di Indonesia. ""Kami berkomitmen untuk senantiasa mengedepankan kepuasan nasabah melalui pengembangan produk dan layanan, dukungan teknologi informasi serta berbagai elemen fundamental lainnya,"" kata Eben. BNI Life memperingati momen penting ini dengan syukuran yang penuh kebersamaan dan berbagai kegiatan di antara lain kompetisi internal, town hall & team building, pengajian serta santunan untuk 270 anak yatim. Selain itu, digelar juga acara syukuran di kantor pusat. Eben juga membeberkan bahwa BNI Life mencatatkan kinerja yang mengesankan hingga bulan Oktober 2023. Aset BNI Life sebesar Rp 24,33 triliun mengalami pertumbuhan 5% (YoY), total pendapatan premi Rp 4,55 triliun tumbuh 9% YoY dan laba bersih sebesar Rp 207 miliar atau tumbuh 10% (YoY), serta hasil investasi sebesar Rp 1,06 triliun. Risk Based Capital (RBC) sebesar 692,34% pada Oktober 2023, ""Hal ini membuktikan bahwa BNI Life memiliki kondisi keuangan yang sehat di tengah ketidakpastian kondisi perekonomian global,"" kata Eben. ""Perhatian yang diberikan terhadap perlindungan finansial juga tercermin dari total pembayaran klaim meninggal dan manfaat dari bisnis konvensional yang mencapai angka sebesar Rp 3,4 triliun sementara klaim bisnis syariah mencapai Rp 233 miliar. Hal ini menegaskan komitmen BNI Life dalam memberikan perlindungan yang menyeluruh dan terpercaya bagi seluruh nasabah,"" ujar Eben. Dalam menyambut tahun-tahun yang akan datang, menurutnya, BNI Life berkomitmen jadi mitra terpercaya masyarakat Indonesia melalui solusi perlindungan asuransi yang inovatif dan berkualitas. BNI Life merupakan bagian dari BNI Group yang fokus pada penyediaan solusi perlindungan finansial melalui produk asuransi jiwa dan produk syariah. ",1
"Tips Cuan di Tengah Sentimen ""Window Dressing"" Akhir Tahun Ini","JAKARTA,  Sentimen window dressing mulai membayangi pasar saham belakangan ini. Window dressing dapat dipahami sebagai upaya perusahaan mempercatik laporan keuangannya untuk menunjukkan kinerja cemerlang. Window dressing juga bisa dikatakan langkah manajer invesasi dalam memoles portofolionya sehingga semakin menarik di mata investor. Adapun fenomena window dressing umumnya terjadi menjelang rilis laporan kinerja, seperti di bulan Maret, Juni, September, dan Desember. Associate Director of Research and Investment Pilarmas Investindo Maximilianus Nico Demus mengatakan sedang terjadi anomali musiman jelang akhir tahun. Hal ini menurutnya akan memberikan katalis positif bagi pasar saham Indonesia karena pelaku pasar memanfaatkan momentum window dressing. “Ini akan mendorong pasar keuangan Indonesia berada di dalam momentum positif dalam menyambut bulan terakhir perdagangan tahun ini,” kata Maximilianus, Selasa (5/12/2023). Dia mengatakan, saat ini pasar memanfaatkan momentum window dressing sehingga secara tidak langsung membuat harga saham-saham unggulan mengalami kenaikan. Dia bilang, hal serupa juga dilakukan oleh manajer investasi yang berupaya meningkatkan nilai saham perusahaan sehingga penutupan kinerja akhir tahun terlihat baik. “Menariknya tindakan ini dilakukan oleh manajer investasi di seluruh dunia, akibatnya indeks harga saham bergerak naik,” kata Maximilianus. Menurut Maximilianus, window dressing yang terjadi saat ini cukup unik karena biasanya terjadi ketika menjelang tutup buku atau pada kuartal akhir tahun. Oleh karenanya, setiap akhir tahun atau Desember merupakan bulan yang paling dinanti oleh investor. Dengan adanya tendensi dari para pelaku pasar maupun perusahaan untuk memperbaiki laporan keuangan, maka biasanya harga saham akan sangat terapresiasi saat momen window dressing. Dia menjelaskan, beberapa emiten yang melakukan investasi di perusahaan lain yang listing di bursa juga akan mendapatkan keuntungan dari window dressing. Dia menyarankan bagi investor yang ingin berburu cuan pada periode ini dapat memperhatikan saham-saham yang berada dalam periode uptrend. “Untuk mendapatkan imbal hasil yang maksimal, pelaku pasar juga dapat memperhatikan saham saham yang mengalami uptrend, likuiditas perdagangan saham yang baik, valuasi yang murah, prospek perusahaan yang mumpuni, dan emiten-emiten yang dikoleksi oleh fund manager sebagai portfolionya,” kata dia. Founder WH Project William Hartanto mengatakan, berdasarkan pemantauannya sentimen window dressing sudah mulai membayangi pasar sejak akhir November 2023. “Terkadang (sentimennya) tidak terlalu besar. Namun yang terjadi di akhir November hingga bulan ini lumayan besar ya. Sayangnya masih terkonsentrasi pada pergerakan IHSG pada saham CREN, CUAN, dan AMMN,” ujar dia kepada Kompas.com. William mengatakan, bagi investor yang ingin berburu cuan di tengah sentimen window dressing, ada beberapa saham yang bisa menjadi pilihan, seperti BBCA, BBRI, BREN, GOTO, dan TLKM. “Investor bisa diversifikasi pada yang saham-saham yang sudah naik seperti, BREN atau yang masih tertinggal seperti TLKM, BBRI. Untuk buy, kami merekomendasikan BBRI, BBNI, BMRI, TLKM, JPFA NISP, dan EXCL,” kata William. ",1
Posko Antemortem Terima 7 Data Pendaki Korban Erupsi Gunung Marapi,"Rumah Sakit Achmad Mochtar (RSAM) Bukittinggi, Sumatera Barat (Sumbar), ditunjuk sebagai Posko Antemortem korban erupsi Gunung Marapi. Kini posko sudah menerima data tujuh korban. Dilansir Antara, dari tujuh korban yang dievakuasi ke RSAM, tiga orang di antaranya merupakan korban meninggal dunia. Empat lainnya menderita luka bakar. ""Sejak pagi hingga malam ini, RSAM menerima total tujuh korban yang merupakan pendaki Gunung Marapi yang mengalami erupsi. Empat menderita luka bakar dan tiga lainnya meninggal,"" kata Direktur Utama RSAM Busril di Bukittinggi, Selasa (5/12/2023). Ketujuh korban adalah Aditya (21) laki-laki asal Pekanbaru dengan kondisi selamat dan menderita luka bakar. Pasien kedua, Zhafirah (19) perempuan asal Padang dan dirujuk ke Rumah Sakit Muhammad Jamil Kota Padang. Pasien ketiga, Naomi (19), perempuan dengan kondisi selamat dan diizinkan pulang bersama keluarganya. Pasien keempat, Achmad Firman (20) laki-laki, menderita luka bakar juga dirujuk ke Padang. Sementara itu, tiga korban yang dinyatakan meninggal dunia adalah Muhammad Adan (21) dan Nazatra (22) asal Pekanbaru, Riau, serta Muhammad Teguh (20) asal Padang. ""Data semua korban sudah diketahui, mereka yang luka bakar dalam perawatan maksimal. Satu orang korban selamat nama Naomi asal Pekanbaru sudah dinyatakan bisa dibawa pulang keluarganya,"" kata Busril. Lebih lanjut, Busril menyebut proses identifikasi sudah disesuaikan dengan protokol Disaster Victim Identification (DVI) Polda Sumbar. Jadi identitas korban sudah diketahui secara pasti. ""Sudah sesuai prosedur DVI Polda Sumbar ditambah pencocokan dengan keluarga dan kerabatnya, saat ini hanya satu keluarga korban yang belum berada di RSAM,"" katanya. ",1
Bagaimana agar Kadar Gula Darah Kembali Normal? Berikut 12 Caranya…," Kadar gula darah dapat berubah-ubah sepanjang hari. Namun, kadar gula darah yang tinggi dapat memicu terjadinya masalah kesehatan yang lebih serius, seperti gangguan penglihatan. Lalu, bagaimana agar kadar gula darah kembali normal? Selain memperhatikan makanan yang dikonsumsi, berolahraga secara teratur dan mengurangi stres adalah cara yang bisa dilakukan untuk menurunkan gula darah tinggi. Untuk lebih jelasnya, ketahui beberapa cara menurunkan gula darah tinggi secara alami yang bisa dicoba. Disarikan dari Health dan Healthline, berikut adalah beberapa cara menurunkan gula darah tinggi secara alami yang perlu diketahui. Berolahraga secara teratur Berolahraga secara teratur dapat meningkatkan sensitivitas insulin sehingga dapat menggunakan gula darah secara efisien. Olahraga yang dilakukan juga akan membantu otot untuk menggunakan gula sebagai sumber energi dan kontraksi otot. Menjaga asupan karbohidrat Konsumsi makanan yang mengandung karbohidrat akan sangat berpengaruh pada kadar gula darah di dalam tubuh. Asupan karbohidrat yang tinggi dapat membuat kadar gula darah meningkat. Sebaliknya, membatasi asupan karbohidrat dapat menurunkan kadar gula darah dan mencegahnya untuk meningkat secara drastis. Menambah asupan serat Makanan yang mengandung serat dapat memperlambat penyerapan karbohidrat dan gula, sehingga akan mencegah kadar gula darah meningkat secara drastis. Konsumsi makanan yang kaya akan serat juga dapat meningkatkan kemampuan tubuh untuk mengatur kadar gula darah dan mencegahnya untuk menjadi terlalu rendah. Minum air putih yang lebih banyak Minum air dengan jumlah yang cukup dapat menjaga agar kadar gula darah tetap stabil. Selain mencegah dehidrasi, mencukupi kebutuhan cairan tubuh juga akan membantu ginjal untuk mengeluarkan kelebihan gula melalui urine. Mengontrol porsi makan Mengontrol porsi makan dapat membantu untuk mengatur kalori yang masuk dan menjaga agar berat badan tetap ideal. Berat badan yang ideal juga akan menjaga agar kadar gula darah tetap stabil dan menurunkan risiko diabetes tipe 2. Memilih makanan dengan indeks glikemik rendah Indeks glikemik menunjukkan seberapa cepat makanan yang mengandung karbohidrat dicerna oleh tubuh dan akan sangat berpengaruh pada kadar gula darah. Makanan dengan indeks glikemik rendah sudah terbukti dapat mengurangi kadar gula darah pada penderita diabetes. Mengurangi stres Stres yang dirasakan dapat membuat tubuh memproduksi hormon glukagon dan kortisol yang juga akan membuat kadar gula darah meningkat. Melakukan kegiatan relaksasi, seperti yoga dan meditasi, dapat mengurangi rasa stres dan membantu memperbaiki gangguan sekresi insulin pada penderita diabetes kronis. Memperhatikan kadar gula darah Memperhatikan kadar gula darah dapat membantu Anda untuk menyesuaikan makanan yang dikonsumsi atau konsumsi obat-obatan yang diperlukan. Untuk itu, Anda diimbau untuk menghitung kadar gula darah setiap hari dan mencatatnya sehingga Anda bisa melakukan tindakan yang diperlukan. Mendapatkan tidur yang cukup Kurang tidur dapat berdampak negatif pada kadar gula darah dan sensitivitas insulin sehingga dapat meningkatkan risiko diabetes tipe 2. Mendapatkan tidur yang berkualitas dan dalam waktu yang cukup, atau setidaknya selama tujuh jam, setiap malam dapat mendukung kesehatan tubuh secara umum. Menjaga berat badan ideal Berat badan ideal dapat menjaga agar kadar gula darah tetap stabil dan menurunkan risiko diabetes. Bahkan, menurunkan berat badan meskipun hanya lima persen dapat meningkatkan regulasi gula darah dan menurunkan konsumsi obat diabetes. Berjalan kaki setelah makan Berjalan kaki setelah makan dapat membantu tubuh untuk membakar karbohidrat dan menurunkan kadar gula darah yang naik setelah makan. Melakukan olahraga jalan kaki secara teratur juga akan membantu tubuh untuk menggunakan insulin secara efektif sehingga kadar gula darah tetap stabil. Melakukan latihan kekuatan Latihan kekuatan tidak hanya dapat membangun otot dan kekuatan, tetap juga akan meningkatkan regulasi gula darah. Bahkan, melakukan latihan kekuatan sebelum makan sudah terbukti dapat menurunkan kenaikan gula darah setelah makan, khususnya pada laki-laki yang obesitas dan mengalami prediabetes. Memahami bagaimana agar kadar gula darah kembali normal sangatlah penting untuk menurunkan risiko masalah kesehatan yang lebih serius. Meskipun begitu, Anda tetap diimbau untuk berkonsultasi dengan dokter sebelum melakukan perubahan kebiasaan atau mengonsumsi makanan tertentu. ",0
"Anies Kunjungi Ponpes di Sumut, Mohon Nasihat-Teguran Para Ulama","Capres nomor urut 1 Anies Baswedan mengunjungi Pondok Pesantren (Ponpes) Persulukan Thariqat di Deli Serdang, Sumatera Utara. Anies pun meminta agar mendapat arahan dan teguran dari para ulama yang ada. Hal itu dikatakan Anies di Ponpes tersebut dalam rangka acara peringatan Haul Guru ke-21 Saidi Syekh H. Amir Damsar Syarif Alam. Awalnya Anies mengatakan kunjungannya itu untuk mendapatkan hikmah dan keberkahan. ""Kami hadir di sini ingin mendapatkan hikmah, ingin mendapatkan keberkahan dan semoga hikmah dan keberkahan ini tertularkan kepada seluruh umat Islam di Indonesia,"" ujar Anies di Ponpes Persulukan Thariqat, Deli Serdang, Sumatera Utara, Minggu (3/12/2023). Anies mengatakan jumlah masyarakat yang hadir mau banyak ataupun sedikit tak jadi soal. Dia pun mengatakan merasa ada keteduhan ketika sampai. ""Karena itu kita semua merasakan ketenangan keteduhan sesuatu yang saya rasakan ketika tiba tadi, penuh dengan keteraturan, penuh dengan ketertiban, jauh dari kekacauan, jauh dari keributan,"" ucapnya. Lebih lanjut, dia mengatakan perlu mendapat nasihat dari ulama. Termasuk dia juga ingin mendapat teguran dari para ulama. ""Kami yang hari ini bekerja di urusan-urusan kenegaraan, urusan-urusan pemerintahan, ingin dan butuh dan mendapatkan nasihat, mendapatkan petunjuk, mendapatkan arahan bagian mendapatkan teguran dari para ulama,"" tuturnya. Adapun kunjungan Anies tersebut bagian dari kunjungannya ke Sumatera Utara. Anies setelahnya dijadwalkan bertemu dengan masyarakat lainnya. ",1
"Blusukan ke Pasar, Gibran Tiba-tiba 'Ditodong' Ibu Pro Jokowi soal Program","Cawapres nomor urut 2, Gibran Rakabuming Raka, blusukan ke Pasar Rawasari, Jakarta Pusat, siang ini. Saat momen tersebut, Gibran dihampiri seorang ibu-ibu bernama Sonya (50) yang mengaku sebagai pendukung Presiden Joko Widodo (Jokowi) 2 periode. Pantauan detikcom, Minggu (3/12/2023) mulanya Gibran mendatangi satu per satu kios pedagang yang ada di sana. Tiba-tiba, Sonya datang menghampiri Gibran dan bertanya terkait program kerjanya. ""Saya perlu tahu dulu programnya untuk mendukung Mas Gibran. Saya pendukung Pak Jokowi dua periode,"" kata Sonya bertanya kepada Gibran, Minggu (3/12/2023). Gibran pun menjawab pertanyaan Sonya dengan membeberkan sejumlah program kerja dan visi misi dirinya bersama pasangannya, Prabowo Subianto. Mulai dari Kartu Indonesia Sehat (KIS) untuk lansia hingga kredit mudah untuk generasi milenial. ""KIS Lansia, dana abadi pesantren, untuk ibu anak ada kartu anak sehat, makan anak gratis di sekolah, terus kredit kaum milenial untuk anak-anak muda kreditnya kita permudah, pesantren. Untuk sementara itu, banyak,"" jawab Gibran. Kembali ke Sonya, dia mengatakan harus tahu terlebih dahulu program kerja Gibran meskipun dirinya pro Jokowi dua periode. Sebab, kata Sonya, program kerja paslon akan berdampak pada masyarakat nantinya. ""Saya masih melihat dulu soalnya dia terlalu muda, maaf dia terlalu muda buat saya. Saya minta program dia saya mau tahu visi-misi nya apa untuk masyarakat,"" kata dia. ""Visi-misi dia harus jelas dulu untuk masyarakat, karena saya harus tahu, masyarakat banyak dan banyak orang-orang sudah, banyak sekali,"" pungkasnya. ",1
Menkominfo Soal BTS 4G Lanjut: Arahan Presiden Harus Sesuai Prosedur,"Kementerian Komunikasi dan Informatika (Kominfo) melanjutkan kontrak layanan Base Tranceiver Station (BTS) 4G untuk Daerah Tertinggal, Terdepan dan Terluar (3T). Menkominfo Budi Arie Setiadi menyatakan hal ini sejalan dengan arahan Presiden Joko Widodo saat penyerahan DIPA Kementerian Tahun Anggaran 2024, agar pemanfaatan alokasi anggaran pemerintah harus fokus pada hasil. Menurutnya Jokowi menginstruksikan bahwa penggunaan anggaran harus sesuai dengan prosedur serta memberikan manfaat yang sepadan bagi masyarakat. ""Prosedur itu wajib, tapi orientasinya pada hasil, dan yang paling penting bermanfaat maksimal bagi rakyat,"" ujar Budi Arie usai menyaksikan Penandatanganan Kontrak Operation & Maintenance BTS 4G di Kantor Kementerian Kominfo, Jakarta Pusat, beberapa waktu lalu. Budi Arie menjelaskan kontrak Operation & Maintenance yang ditandatangani merupakan kontrak untuk melanjutkan pengoperasian BTS 4G yang telah dibangun dan menjadi aset Badan Aksesibilitas Telekomunikasi dan Informatika (BAKTI) Kominfo. ""Sehingga layanan sinyal dari site BTS yang telah tercatat menjadi aset BAKTI Kominfo dapat dirasakan manfaatnya oleh masyarakat secara optimal,"" tandasnya. Menkominfo sendiri mengapresiasi kinerja Satgas BAKTI Kominfo yang mampu memberikan solusi cepat dan komprehensif untuk persoalan yang terjadi di lapangan. Di tempat terpisah, Ketua Satuan Tugas BAKTI Kominfo, Sarwoto Atmosutarno menyatakan penyelesaian Proyek BTS 4G menjadi tugas mulia meski tidak mudah. ""Namun dengan itikad baik dan untuk kepentingan yang lebih luas, anggota Satgas yang berasal dari unsur Kejaksaan Agung, Kementerian Keuangan, BPKP, LKPP, Kominfo dan industri bersinergi untuk melakukan debottlenecking agar masyarakat di desa 3T dapat segera memanfaatkan sinyal seluler yang disediakan BAKTI,"" tuturnya. Sementara itu, Direktur Utama BAKTI Kominfo Fadhilah Mathar menegaskan layanan kepada masyarakat menjadi prioritas utama agar warga daerah 3T bisa memanfaatkan akses telekomunikasi. ""Penegakan hukum yang dilakukan Kejaksaan Agung terkait Proyek BTS 4G, tidak berakhir di proses peradilan, tetapi demi inklusi digital masyarakat di desa 3T,"" ujarnya. Mengenai penandatanganan kontrak itu, Fadhilah menegaskan sebagai komitmen untuk menyediakan layanan seluler 4G bagi masyarakat di daerah 3T secara bertahap. ""Kejaksaan Agung juga melakukan pendampingan dalam penyelesaian proyek ini agar taat hukum dan bebas penyimpangan. Semua itikad baik ini diejawantahkan oleh BAKTI Kominfo melalui penandatanganan kontrak ini,"" jelasnya. Penandatanganan kontrak Operation & Maintenance BTS 4G berlangsung setelah kesepakatan pengakhiran kontrak payung antara BAKTI Kominfo dan perwakilan konsorsium BTS 4G pada Rabu (29/11) lalu. Penandatanganan kontrak berlangsung antara Dirut BAKTI Kominfo dengan perwakilan konsorsium. Untuk konsorsium Paket 1 dan 2, Kemitraan Fiberhome, Telkominfra, dan MTD, penandatanganan diwakili oleh Deng Mingsong. Sementara Konsorsium Paket 3, Kemitraan Lintasarta, Huawei, dan Sei diwakili oleh Ginandjar Alibasjah. Sedangkan untuk konsorsium Paket 4 dan 5, Kemitraan IBS dan ZTE Indonesia diwakili oleh Makmur Jaury. Sebelumnya, penerbitan kontrak Operation & Maintenance BTS 4G ini sempat tertunda karena kasus hukum yang tengah berjalan. Namun demikian, BAKTI Kominfo melakukan evaluasi secara menyeluruh dan melakukan koordinasi dengan Tim Jaksa Agung Muda Bidang Perdata dan Tata Usaha Negara (Jamdatun) Kejaksaan Agung untuk mendapatkan bantuan review dan pendampingan. ",0
