title,content
Jasa Raharja & Polri Serahkan Alat Bantu untuk Penyintas Lakalantas,"Jasa Raharja bersama Korps Lalu Lintas Polri memberikan bantuan untuk para penyandang disabilitas akibat korban kecelakaan lalu lintas (lakalantas). Bantuan yang diberikan berupa 7 kaki palsu, 10 kursi roda, dan 10 tongkat siku.

Direktur Hubungan Kelembagaan Jasa Raharja Munadi Herlambang mengatakan bantuan dari program Tanggung Jawab Sosial dan Lingkungan (TJSL) ini merupakan salah satu bentuk kepedulian Jasa Raharja dan Korlantas Polri terhadap para korban kecelakaan lalu lintas.

""Ini hanya secuil ikhtiar dari kami untuk memberikan harapan kepada warga negara yang membutuhkan. Bantuan ini diharapkan dapat meningkatkan produktivitas para penyintas kecelakaan,"" ujar Munadi dalam keterangan tertulis, Rabu (6/12/2023).

Hal itu disampaikan dalam acara 'Retrospeksi Korban Kecelakaan Lalu Lintas' di Taman Lalu Lintas Cibubur, Jakarta Timur pada Selasa (05/12).

Menurutnya, kepedulian tersebut dapat menjadi contoh bagi lembaga-lembaga lain untuk bergotong royong memberikan support kepada penyintas kecelakaan, terutama di sektor pelayanan kesehatan, guna membantu pemulihan.

""Kita berambisi Indonesia bisa memberikan jasa kesehatan yang baik bagi korban kecelakaan, sehingga jangan sampai organ tubuh mereka ada yang berkurang sedikit pun,"" ucapnya.

Sementara itu, Plt. Kakorlantas Polri Brigjen Pil. Aan Suhanan menyebutkan bantuan tersebut dapat menjadi pengingat betapa dahsyatnya efek pasca kecelakaan lalu lintas. Oleh sebab itu, dia pun mengimbau kepada seluruh masyarakat agar selalu tertib berlalu lintas.

""Kita lihat para korban kecelakaan ada yang kehilangan kakinya hingga kehilangan pekerjaan. Kita bayangkan juga yang meninggal dunia, dia meninggalkan anak istrinya,"" katanya.

"
"Penuhi Panggilan Pemeriksaan, Kini Firli Bahuri Lewat Lobby Bareskrim Polri","Ketua KPK non aktif Firli Bahuri memenuhi panggilan Bareskrim Polri hari ini. Firli tiba melalui lobby Bareskrim Polri.

Firli tiba pada hari ini dengan langsung memasuki Gedung Bareskrim Polri tanpa mengucapkan sepatah kata sekitar pukul 09.13 WIB, Rabu (6/12/2023). Dirinya yang turun dari mobil langsung bergegas memasuki gedung.

Adapun pada pemeriksaan sebelumnya pada Jumat (1/12), Firli tidak melewati pintu utama Bareskrim Polri. Kedatangannya tidak terlihat oleh awak media.

Pada saat itu, informasi kedatangan Firli dikonfirmasi oleh Wakil Direktur Tindak Pidana Korupsi (Wadirtipidkor) Bareskrim Polri, Kombes Arief Adiharsa. Arief menuturkan Firli tiba lebih awal dari waktu yang telah dijadwalkan.

""Saudara Firli Bahuri dan penasihat hukumnya tiba pukul 08.30 WIB. Pemeriksaan oleh penyidik terhadap yang bersangkutan telah dimulai sejak 09.00 WIB di lantai 6 Dittipidkor,"" kata Arief saat dikonfirmasi, Jumat lalu.

Hal yang sama juga terjadi pada pemeriksaan Firli pada Selasa (24/10) dan Kamis (16/11) lalu. Firli kala itu yang masih berstatus saksi juga menjalani pemeriksaan tidak melalui lobby Bareskrim Polri.

Diberitakan sebelumnya, polisi memanggil Firli Bahuri untuk diperiksa lagi sebagai tersangka kasus dugaan pemerasan terhadap mantan Menteri Pertanian Syahrul Yasin Limpo. Pemeriksaan dijadwalkan hari ini.

Pemeriksaan kedua Firli itu akan dilakukan di gedung Bareskrim. Kabid Humas Polda Metro Jaya Kombes Trunoyudo mengatakan pihaknya telah memberikan surat panggilan pemeriksaan pada 3 Desember lalu.

""Pada 3 Desember tepatnya hari Rabu, telah memberikan surat panggilan dalam rangka pemeriksaan atau pengambilan keterangan tambahan kepada saudara FB (Firli Bahuri) dengan kapasitas sebagai tersangka. Tepatnya untuk pemanggilan kemarin diperuntukan hari Rabu, 6 Desember 2023,"" kata Trunoyudo kepada wartawan, Selasa (5/12).

"
Ma'ruf: Reformasi Birokrasi Telah Berjalan di Koridor yang Tepat,"Wakil Presiden Ma'ruf Amin menghadiri acara apresiasi dan penyerahan hasil evaluasi Sistem Akuntabilitas Kinerja Instansi Pemerintah (SAKIP), Reformasi Birokrasi (RB), dan Zona Integritas (ZI) Tahun 2023. Ma'ruf meminta instansi pemerintahan yang mendapatkan apresiasi untuk terus melakukan terobosan.

""Memasuki tahun 2024, kebijakan reformasi birokrasi sebagaimana tertuang dalam Grand Design Reformasi Birokrasi 2010-2025, telah berjalan di koridor yang tepat. Kita harapkan hal ini semakin mendekatkan kita pada cita-cita menuju birokrasi berkelas dunia,"" kata Ma'ruf di Bali Nusa Dua Convention Center, Badung, Bali, Rabu (6/12/2023).

Hadir dalam acara ini Menpan-RB Abdullah Azwar Anas, Mendagri Tito Karnavian, Menteri Keuangan Sri Mulyani hingga Ketua sementara KPK Nawawi Pomolango.

Ma'ruf menyebut penyelenggaraan birokrasi saat ini sudah banyak mengalami perubahan. Ma'ruf menyebut terjadi peningkatan kualitas birokrasi.

""Alhamdulillah, menjelang dua dekade penyelenggaraan reformasi birokrasi, kini sudah banyak perubahan yang berarti. Persentase Instansi Pemerintah yang mencapai Nilai Indeks RB dan Nilai Akuntabilitas Kinerja dengan kategori 'Baik' ke atas semakin meningkat,"" kata Ma'ruf.

""Begitu pula dengan jumlah unit kerja percontohan yang mendapatkan predikat Wilayah Bebas dari Korupsi, dan Wilayah Birokrasi Bersih Melayani di sektor-sektor strategis,"" imbuhnya.

Menurut Ma'ruf, kualitas birokrasi Indonesia jua mendapat penilaian positif dari lembaga internasional. Salah satunya dari Bank Dunia.

""Menjadi kebanggaan pula, bahwa peningkatan kualitas birokrasi kita mendapat penilaian positif dari lembaga internasional. Bank Dunia dalam rilis Worldwide Governance Indicators (WGI) menempatkan Indonesia di posisi ke-73 dari 214 negara,"" tutur dia.

Ma'ruf menyebut Indeks Efektivitas Pemerintahan Indonesia yang semula 64,76 pada tahun 2022 naik menjadi 66,04 di tahun 2023. Hal itu, kata Ma'ruf, harus menjadi pendorong semua lembaga untuk berbenah.

""Sejumlah capaian tersebut hendaknya menjadi pendorong dan penyemangat bagi kita untuk terus berbenah. Berbagai kebijakan strategis reformasi birokrasi dan manajemen aparatur sipil negara harus dijalankan berkelanjutan, masif, dan serentak, tidak hanya di pusat, tetapi juga di daerah,"" katanya.

Ma'ruf pun mengucapkan selamat untuk instansi yang mendapatkan apresiasi. Dia berharap apresiasi ini menjadi motivasi untuk terus melakukan terobosan.

""Semoga prestasi ini semakin menjadi motivasi, baik bagi instansi bersangkutan maupun instansi lainnya, untuk terus melakukan terobosan dalam menggerakkan reformasi birokrasi yang berdampak langsung bagi masyarakat,"" ujarnya.

Berikut Hasil Evaluasi SAKIP, RB dan ZI Tahun 2023:

Pemda dengan Implementasi RB Tematik Terbaik pada semua tema Tahun 2023:1. Pemkot Tangerang yang diterima Wali Kota Tangerang2. Pemkot Yogyakarta yang diterima oleh Wali Kota Yogyakarta3. Pemda Hulu Sungai Selatan diterima oleh Bupati Hulu Sungai Selatan

Pemda yang berhasil mendapatkan nilai SAKIP menjadi A pada Tahun 2023:1. Kabupaten Banyumas yang diterima oleh Bupati Banyumas2. Pemkot Madiun yang diterima oleh Wali Kota Madiun

Pemda dengan Predikat SAKIP A dengan nilai tertinggi:1. Pemkab Banyuwanyi yang diterima oleh Bupati Banyuwangi

Pemda dengan Predikat SAKIP AA:1. Pemprov DIY yang diterima oleh Gubernur DI Yogyakarta

Apresiasi K/L pendukung dalam Pelaksanaan RB Tematik Tahun 2023:1. Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan2. Kemenko Marves diterima oleh Staff Ahli Kemenko Bidang Marves3. Kemendagri yang diterima oleh Menteri Dalam Negeri4. Kementerian Kesehatan yang diterima oleh Wakil Menteri Kesehatan5. Kementeruan Investasi yang diterima oleh Sekretaris Kementerian Investasi/BKPM6. BPS yang diterima oleh Sestama BPS7. Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) yang diterima oleh Sestama LKPP

Instansi Pemerintah dengan Unit Kerja Terbanyak peraih Zona Integritas Menuju Wilayah Bebas dari Korupsi (WBK) dan Wilayah Birokrasi Bersih dan Melayani (WBBM) Tahun 2023:1. Kementerian Keuangan yang diterima oleh Menteri Keuangan2. Tentara Nasional Indonesia (TNI) yang diterima oleh Kasum TNI3. Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional yang diterima Sekjen Kementerian ATR

"
"Dilema Sekolah Jerman: Makin Banyak Murid, Makin Sedikit Tenaga Pengajar","""Kami terus-menerus kekurangan staf. Tidak ada lagi guru pengganti di pasar kerja,"" kata Rebecca, yang menolak nama aslinya disebut. ""Manajemen sekolah tidak bisa menemukan staf untuk lowongan yang ada, dan rekan kerja sering kali cuti sakit selama berminggu-minggu atau berbulan-bulan karena beban kerja yang membuat mereka kelelahan.""

Alhasil, banyak mata pelajaran yang harus ditangguhkan. Karena kekurangan tenaga pengajar, ada sekolah yang memperkenalkan empat hari sekolah dalam seminggu. Diperkirakan, Jerman kekurangan puluhan ribu guru, tapi tidak ada yang tahu pasti jumlahnya.

Masalahnya, di Jerman pendidikan adalah tanggung jawab negara bagian, bukan tanggung jawab pemerintahan federal di Berlin. Peraturan di negara bagian berbeda-beda, sehingga sulit membuat perhitungan secara nasional.

Contohnya: Di negara bagian Niedersachsen seorang guru penuh waktu di tingkat sekolah menengah wajib mengajar 23,5 jam per minggu. Sedangkan di negara bagian Schleswig-Holstein, 25 jam. Di tingkat sekolah dasar, jam kerja guru lebih panjang lagi karena persiapan dan tindak lanjut pembelajaran lebih kompleks.

Konferensi Menteri Pendidikan dan Kebudayaan, yang merupakan badan koordinasi para menteri pendidikan negara bagian, memperkirakan saat ini ada sekitar 14.000 posisi lowongan guru yang belum terisi. Mulai tahun 2025 dan seterusnya, diperkirakan angka itu akan bertambah menjadi 21.000 guru, dan jumlah tersebut akan tetap sama hingga tahun 2035.

Tetapi para ilmuwan pendidikan dan Serikat Guru Jerman (GEW) menganggap perkiraan kekurangan guru itu terlalu optimis. ""Kesenjangan antara permintaan guru dan pasokan guru akan meningkat hingga mencapai 56.000 sampai tahun 2035,"" kata Anja Bensinger-Stolze dari GEW kepada DW.

Menurut Kantor Statistik Jerman, tahun 2023 ada 830,600 siswa kelas satu sekolah dasar yang terdaftar di sekolah-sekolah. Dalam sepuluh tahun ke depan, jumlah anak dan remaja yang bersekolah diperkirakan akan meningkat dari sebelas menjadi dua belas juta. Peningkatan ini sebagian disebabkan oleh tingginya angka kelahiran dan meningkatnya imigrasi ke Jerman.

GEW memperkirakan, jumlah posisi guru yang tidak terisi di sekolah-sekolah Jerman bisa bertambah hingga setengah juta pada tahun 2035.

Karena ada kekosongan, sekolah-sekolah sekarang makin banyak merekrut guru dari bidang profesi lain tanpa pendidikan keguruan, atau mahasiswa keguruan yang belum menyelesaikan pendidikan. Pada saat yang sama, jumlah mahasiswa yang mengambil jurusan keguruan menurun karena alasan demografis, dan karena profesi guru semakin tidak atraktif.

Untuk mengatasi kekosongan guru, Konferensi Menteri Pendidikan dan Kebudayaan ingin meningkatkan jam kerja guru dan beban kerjanya. Selain itu, usia pensiun diusulkan meningkat dan pekerjaan paruh waktu dihilangkan.

Saat ini, sekitar 40 persen guru justru cenderung mengurangi jam kerja dan jam mengajar mereka. Guru Rebecca mengatakan, sekalipun jam mengajarnya hanya 23,5 jam per minggu, dia malah harus bekerja lebih banyak. ""Pelajaran, persiapan dan tindak lanjut, koreksi tugas kelas dan ujian - memberi saya lebih dari 40 jam seminggu,"" katanya.

Serikat pekerja guru GEW telah menyampaikan 15 poin rencana untuk menjadikan profesi guru lebih menarik. Antara lain dengan mengurangi jam kerja, memperkecil jumlah murid dalam satu kelas, memberikan gaji yang lebih tinggi dan memberikan perlindungan kesehatan yang lebih baik.

Secara keseluruhan, GEW hanya punya sedikit harapan bahwa situasi di sekolah-sekolah dapat berubah dalam jangka pendek. Mereka yang bertanggung jawab dalam politik terlalu lama menganggap enteng situasi ini, kata GEW.

(hp/as)

Jangan lewatkan konten-konten eksklusif yang kami pilih setiap Rabu untuk kamu. Daftarkan e-mail kamu untuk berlangganan Newsletter mingguan Wednesday Bite.

"
"Jokowi Resmikan Sistem Air Minum di Kupang, Bisa untuk 15.000 Rumah Tangga","Presiden Joko Widodo (Jokowi) meresmikan sistem penyediaan air minum (SPAM) Kali Dendeng di Kota Kupang. Jokowi mengatakan sistem ini dapat dipakai untuk 15.000 rumah tangga.

""Di musim kemarau selalu air menjadi persoalan besar, baik untuk kepentingan rumah tangga maupun untuk kepentingan pertanian, dan hari ini kita akan membuka SPAM sistem penyediaan air minum Kali Dendeng di Kota Kupang. Ini akan bisa dipakai untuk 15.000 sambungan rumah tangga,"" kata Jokowi dalam sambutannya seperti dilihat di akun YouTube Sekretariat Presiden, Rabu (6/12/2023).

Saat ini, kata Jokowi sambungan baru mencapai 3.000 rumah tangga. Jokowi lantas meminta Menteri PUPR Basuki Hadimuljono untuk segera menyelesaikan sambungan tersebut.

""Tapi baru terpakai 3.000 sambungan rumah tangga, artinya masih ada sisa yang sangat besar sekali. Oleh sebab itu, saya minta ke Pak Menteri PUPR agar sambungan ke rumah tangga ini segera dibantu dari pemerintah pusat untuk segera diselesaikan, harusnya ini tanggung jawab daerah, kota, provinsi, dan tanggung jawab PDAM, tapi untuk NTT ini akan kita bantu dari pemerintah pusat,"" ujarnya.

Jokwi menyebut SPAM ini dibangun sejak 2020 dengan menghabiskan anggaran Rp 173 miliar. Jokowi berharap SPAM ini dapat menyelesaikan persoalan air minum bagi warga Kupang.

""Ini dibangun sejak 2020 menghabiskan anggaran Rp 173 miliar ini angka besar loh, sehingga ini akan memberikan kepastian bahwa untuk urusan air utamanya air minum di Kota Kupang dan sekitarnya bisa disuplai di SPAM Kali Dendeng,"" ucapnya.

Jokowi juga menyampaikan akan ada 7 waduk untuk mengairi sistem pertanian. Dia berharap produksi pertanian di NTT dapat semakin produktif dengan adanya waduk tersebut.

""Kedua yang berkaitan dengan pertanian, ada 7 waduk yang sudah selesai dibangun dan akan segera selesai di tahun 2024 nantinya. Ini juga akan memberikan efek luar biasa pada produksi produktifitas pertanian sawah yang ada di NTT,"" ucapnya.

"
"Bertemu Netanyahu, Keluarga Sandera Israel Marah-marah!","Perdana Menteri (PM) Israel Benjamin Netanyahu bertemu dengan keluarga para sandera yang telah dibebaskan maupun yang masih disandera oleh Hamas. Pertemuan itu digambarkan oleh beberapa dari mereka yang hadir sebagai pertemuan yang penuh keributan dan kemarahan.

Seperti dilansir Reuters dan Al Arabiya, Rabu (6/12/2023), pertemuan pada Selasa (5/12) waktu setempat itu digelar saat pertempuran kembali terjadi di Jalur Gaza setelah gencatan senjata selama tujuh hari yang memungkinkan pembebasan puluhan orang yang disandera oleh Hamas.

Sekitar 138 orang lainnya masih disandera di Jalur Gaza, namun potensi pembebasan mereka masih terbuka.

""Saya mendengar cerita yang membuat saya patah hari, saya mendengar tentang rasa haus dan lapar, tentang kekerasan fisik dan mental,"" ucap Netanyahu dalam konferensi pers.

""Saya mendengar dan Anda juga mendengar, soal kekerasan seksual dan kasus pemerkosaan brutal yang tidak pernah terjadi sebelumnya,"" sebutnya.

Beberapa kerabat para sandera yang menghadiri pertemuan itu sangat kritis terhadap pemerintah Israel. Salah satunya Dani Miran, yang putranya Omri disandera Hamas sejak 7 Oktober lalu bersama 240 warga Israel dan warga asing lainnya.

Miran mengatakan dirinya merasa kecerdasannya dihina oleh pertemuan tersebut dan memilih keluar di tengah-tengah pertemuan.

""Saya tidak akan menjelaskan secara rinci soal apa yang dibahas dalam pertemuan tersebut, namun keseluruhan kinerjanya buruk, menghina, berantakan,"" tuturnya kepada televisi lokal Israel, Channel 13.

Saksikan Video 'Hamas: Netanyahu Tak Peduli dengan Warga Israel yang Ditahan di Gaza':

Miran juga menyebut pemerintah Israel terkesan menjadikan isu penyanderaan ini sebagai 'lelucon'.

""Merela mengatakan 'kami telah melakukan ini, kami telah melakukan itu'. (Pemimpin Hamas di Gaza, Yahya) Sinwar menjadi orang yang memulangkan orang-orang kita, bukan mereka (pemerintah Israel-red). Saya marah karena mereka mengatakan bahwa mereka memerintahkan hal-hal. Mereka tidak memerintahkan satu langkah pun,"" tegasnya.

Pertemuan itu dimaksudkan sebagai forum bagi para sandera yang dibebaskan untuk menceritakan kepada para menteri Israel soal pengalaman mereka selama disandera oleh Hamas. Dilaporkan bahwa dalam pertemuan itu, beberapa mantan sandera menceritakan penganiayaan yang dilakukan Hamas terhadap mereka.

Namun pertemuan itu dibayangi oleh emosi tak terbendung dari keluarga para sandera yang belum dibebaskan, yang memiliki kekhawatiran besar atas nasib anggota keluarga mereka yang masih ditahan di Jalur Gaza.

""Itu merupakan pertemuan yang sangat bergejolak, banyak orang berteriak,"" ucap Jennifer Master, yang rekannya Andrey menjadi sandera Hamas.

Israel mengatakan sejumlah perempuan dan anak-anak masih disandera oleh Hamas, sementara keluarga-keluarga yang memiliki kerabat laki-laki dewasa yang masih ditahan di Jalur Gaza menyerukan agar mereka tidak dilupakan.

""Kami semua berusaha memastikan orang-orang yang kami cintai bisa pulang. Ada yang menginginkan perempuan yang masih tertinggal atau anak-anak yang masih tertinggal, dan ada pula yang mengatakan kami menginginkan para laki-laki dibebaskan,"" ujar Master saat berbicara kepada televisi lokal Channel 12.

"
Cak Imin Tolak Rencana Gubernur Daerah Khusus Jakarta Ditunjuk Presiden,"Ketua Umum PKB, Muhaimin Iskandar (Cak Imin), menyatakan partainya menolak rencana Gubernur Daerah Khusus Jakarta ditunjuk Presiden sebagaimana tertera dalam Rancangan Undang-Undang (RUU) Daerah Khusus Jakarta (DKJ). Cak Imin mengatakan hal itu terlalu dipaksakan.

""Jadi memang ada draf, draf yang menginginkan Pilkada DKI ditunjuk oleh pemerintah pusat, kami (PKB) menolak total, kami dan insyaallah mayoritas fraksi akan menolak karena itu, terlalu dipaksakan waktunya,"" kata Cak Imin di Kabupaten Bireuen, Aceh, Rabu (6/12/2023).

Cak Imin menyebut RUU tersebut perlu dimatangkan dengan baik. Dia menilai penunjukan Gubernur DKI Jakarta oleh Presiden adalah hal bahaya.

""Ya itu bahaya, bahaya apabila dalam posisi yang menuju persiapan demokrasi yang lebih baik, harus diberi ruang yang lebih baik lagi,"" ucap Cawapres nomor urut 2 ini.

Dalam RUU Daerah Khusus Jakarta, gubernur dan wakil gubernur akan ditunjuk dan diberhentikan oleh presiden dengan memperhatikan usul DPRD. Draf ini merupakan hasil pembahasan dalam rapat pleno Baleg DPR penyusunan RUU Daerah Khusus Jakarta pada Senin (4/12) kemarin.

Dalam draf RUU Daerah Khusus Jakarta yang dilihat detikcom, Selasa (5/12), Jakarta nantinya ditetapkan menjadi pusat perekonomian nasional dan kawasan aglomerasi. Hal ini tertuang dalam Pasal 4.

Meski berubah dari Daerah Khusus Ibu Kota menjadi Daerah Khusus, Jakarta bakal tetap dipimpin oleh gubernur dan wakil gubernur. Gubernur dan wakil gubernur Daerah Khusus Jakarta akan ditunjuk, diangkat dan diberhentikan oleh Presiden dengan memperhatikan usul dari DPRD. Berikut ini bunyi pasalnya:

Pasal 10(1) Provinsi Daerah Khusus Jakarta dipimpin oleh Gubernur dan dibantu oleh Wakil Gubernur.(2) Gubernur dan Wakil Gubernur ditunjuk, diangkat, dan diberhentikan oleh Presiden dengan memperhatikan usul atau pendapat DPRD.(3) Masa jabatan Gubernur dan Wakil Gubernur selama 5 (lima) tahun terhitung sejak tanggal pelantikan dan sesudahnya dapat ditunjuk dan diangkat kembali dalam jabatan yang sama hanya untuk satu kali masa jabatan.(4) Ketentuan mengenai penunjukan, pengangkatan, dan pemberhentian Gubernur dan Wakil Gubernur sebagaimana dimaksud pada ayat (3) diatur dengan Peraturan Pemerintah.

Simak juga 'Respons Mahfud soal RUU DKJ Atur Gubernur Dipilih Presiden':

"
Bamsoet Minta Elite Politik Jaga Persatuan dan Kesatuan di Pemilu 2024,"Ketua MPR RI Bambang Soesatyo (Bamsoet) mengajak para elite politik serta seluruh elemen bangsa untuk mencegah hadirnya kembali terminologi 'cebong' dan 'kampret' dalam Pemilu. Pemilu 2024 harus disambut dengan suka cita, apalah arti kemenangan jika mengorbankan persatuan kebangsaan.

Selain itu, jangan ada lagi yang memanfaatkan isu agama hanya untuk menebar kebencian hanya demi meraih kekuasaan. Hal ini disampaikan Bamsoet dalam Perayaan Natal Tahun 2023 dan Tahun Baru 2024 MPR RI, DPR RI, dan DPD RI, di Gedung Nusantara IV MPR RI, Jakarta, Senin malam (5/12).

""Sahabat Rasulullah SAW, Ali bin Abi Thalib, mengajarkan bahwa 'mereka yang bukan saudara dalam iman, adalah saudara dalam kemanusiaan'. Kita harus meyakini, setiap agama menjunjung tinggi harkat dan martabat kemanusiaan,"" ujar Bamsoet, dalam keterangannya, Rabu (6/12/2023).

""Mari kita jaga persatuan dan kesatuan, dan jadikan nilai-nilai agama sebagai perekat persaudaraan, yang dilandasi oleh rasa cinta kasih pada sesama, karena sejatinya, puncak dari setiap agama adalah cinta,"" sambungnya.

Bamsoet menjelaskan dalam konteks keindonesiaan yang tidak menganut paham sekulerisme, agama menjadi elemen penting dalam konstruksi kehidupan sosial.

Setiap isu yang dikaitkan dengan agama, selalu menjadi isu yang memiliki sensitivitas tinggi yang jika tidak dikelola dan disikapi dengan baik dan bijaksana, akan bermuara pada percikan-percikan konflik yang dapat mencederai kebersamaan kita sebagai sebuah bangsa.

""Implementasi dari praktik kehidupan keagamaan adalah cinta kasih yang menggerakkan persaudaraan. Cinta kasih dan persaudaraan adalah ikatan senyawa yang saling menguatkan satu sama lain, yang akan menuntun setiap langkah kita menuju harmoni dan kedamaian,"" jelas Bamsoet.

Menurut Bamsoet, kita juga tidak boleh merasa lelah menebarkan semangat perdamaian, kerukunan, dan cinta kasih kepada sesama. Karenanya, perbedaan orientasi dan pilihan politik, tidak seharusnya menjadikan kita terpolarisasi pada kutub-kutub yang saling bermusuhan.

""Sudah saatnya kita belajar dari pengalaman sejarah, bahwa konflik horizontal yang dipicu oleh perbedaan orientasi politik dan agama, hanya akan meninggalkan trauma dan bekas luka. Selain, merusak sendi-sendi demokrasi yang dengan susah payah kita bangun dan perjuangkan,"" kata Bamsoet.

""Melalui kebersamaan dalam keberagaman inilah, kita akan senantiasa diuji, seberapa dangkal, atau seberapa dalam, komitmen kebangsaan kita, dalam menempatkan persatuan dan kesatuan bangsa, di atas kepentingan pribadi dan golongan,"" pungkasnya.

Turut hadir Wakil Ketua DPD RI Nono Sampono. Hadir pula panitia Perayaan Natal Tahun 2023 dan Tahun Baru 2024, antara lain Ketua Hendrik Halomoan Sitompul, Wakil Ketua Inosentius Samsul, Sekretaris Marinus Gea, dan Wakil Sekretaris Maria Dumaris Simanjuntak.

"
"Titik Kepadatan di Tol Dalam Kota: Cawang-Tebet, Pancoran-Kuningan","Tol Dalam Kota mengalami kepadatan di sejumlah titik, salah satunya di Tol Cawang-Tebet. Kepadatan tersebut akibat padatnya volume kendaraan.

""Cawang Km 00 - Tebet Km 03 padat, kepadatan volume lalin,"" demikian dikutip dari Twitter Jasa Marga @PTJASAMARGA, Rabu (6/12/2023).

Jasa Marga mengatakan lalin di Tol Pancoran Km 04 - Kuningan Km 04+800 juga mengalami kepadatan. Kepadatan tersebut akibat padatnya volume kendaraan di exit Tol Kuningan.

""Kepadatan volume lalin Keluar Kuningan,"" katanya.

Lebih lanjut kepadatan juga terjadi di Tol Kuningan Km 06 - Semanggi Km 07. Kepadatan tersebut akibat padatnya volume lalin.

Sementara itu, lalin di Tol Dalam Kota juga telah diberlakukan contraflow di Halim Km 00+200 - Senayan Km 08+100. Contraflow diberlakukan di lajur kanan.

""Harap tertib di antrian,"" tulis Jasa Marga.

Simak juga 'Gibran Salah Sebut Asam Folat Jadi Asam Sulfat, Ini Perbedaannya':

"
Firli Bahuri Penuhi Panggilan Polisi soal Pemerasan SYL,"Ketua nonaktif KPK Firli Bahuri memenuhi panggilan Bareskrim Polri hari ini. Firli akan diperiksa sebagai tersangka kasus dugaan pemerasan terhadap mantan Menteri Pertanian Syahrul Yasin Limpo (SYL).

Pantauan detikcom di gedung Bareskrim Polri, Rabu (6/12/2023), Firli tiba pada pukul 09.12 WIB. Firli terlihat mengenakan pakaian kemeja berwarna biru gelap.

Firli langsung memasuki gedung Bareskrim Polri usai tiba. Ia tak mengucapkan sepatah kata pun.

Diberitakan sebelumnya, polisi memanggil Firli Bahuri untuk diperiksa lagi sebagai tersangka kasus dugaan pemerasan terhadap mantan Menteri Pertanian Syahrul Yasin Limpo. Pemeriksaan dijadwalkan hari ini.

Pemeriksaan kedua Firli itu akan dilakukan di gedung Bareskrim. Kabid Humas Polda Metro Jaya Kombes Trunoyudo mengatakan pihaknya telah memberikan surat panggilan pemeriksaan pada 3 Desember lalu.

""Pada 3 Desember tepatnya hari Rabu, telah memberikan surat panggilan dalam rangka pemeriksaan atau pengambilan keterangan tambahan kepada saudara FB (Firli Bahuri) dengan kapasitas sebagai tersangka. Tepatnya untuk pemanggilan kemarin diperuntukkan hari Rabu, 6 Desember 2023,"" kata Trunoyudo kepada wartawan, Selasa (5/12/2023).

Namun, Trunoyudo tak menjelaskan apa saja yang akan ditanyakan ke Firli. Trunoyodo juga tak menjelaskan apakah Firli akan ditahan atau tidak usai diperiksa.

""Proses ini akan dilakukan oleh Subdit Tipidkor Ditreskrimsus Polda Metro Jaya dan Dittipidkor Bareskrim Polri,"" ucapnya.

Diketahui Firli sebelumnya telah menjalani pemeriksaan perdana sebagai tersangka pada Jumat (1/12). Setelah diperiksa, Firli belum ditahan.

Saksikan Live DetikPagi:

"
