title,author,published,url,content
DPRD : Jaga Inflasi Daerah dan Kondisivitas Pemilu 2024,DPRD JATENG,1 jam lalu,https://dprd.jatengprov.go.id/dprd-jaga-inflasi-daerah-dan-kondisivitas-pemilu-2024/,"FORKOPIMDA : Ketua DPRD Sumanto bersama jajaran Forum Komunikasi Pimpinan Daerah (Forkopimda) Provinsi Jawa Tengah dan unsur pemerintah daerah 35 kabupaten/kota se Jawa Tengah di Gedung Gradhika Praja, Semarang.(foto: rahmat yw)

SEMARANG – Forum Komunikasi Pimpinan Daerah (Forkopimda) Provinsi Jawa Tengah meminta untuk setiap dinas atau instansi terkait jelang Hari Libur Natal 2023 & Tahun Baru 2024 dapat bersiap dan mengantisipasi semua keadaan pengamanan perayaan ibadah Natal di beberapa titik gereja tidak lepas juga ditingkatkan. DPRD juga meminta masyarakat waspada inflasi cukup tinggi.

Hal tersebut menjadi pembahasan hangat jajaran Forkopimda Provinsi Jateng bersama unsur pemerintah daerah 35 kabupaten/kota se Jawa Tengah di Gedung Gradhika Praja, Semarang, Selasa (5/12/2023). 

Penjabat Gubernur Jawa Tengah Nana Sudjana menginstruksikan untuk seluruh unsur dinas terkait juga pemerintah daerah untuk antisipasi lonjakan inflasi jelas memasuki nataru, selain itu adanya lonjakan para pemudik juga harus diwaspadai karena Jateng menjadi pusat tujuan wisata. 

“Jelang Nataru, inflasi di Jateng pada bulan November secara year on year (yoy) ada di angka 3.16 persen dan perlu diwaspadai, sidak-sidak di pasar sangat diperlukan agar harga terkendali. Disisi lain, jelang Nataru adanya lonjakan pemudik harus dipersiapkan secara matang dan semua harus kondusif, seperti pengamanan arus lalin untuk menjaga kenyamanan pemudik hingga pengaman tempat ibadah juga harus ditingkatkan, ” himbau dia. 

Menambahkan, Ketua DPRD Jateng juga mengimbau agar seluruh dinas dan unsur masyarakat ikut menjaga kondusivitas perayaan Natal & Tahun Baru agar semua berjalan tertib juga lancar. Arahan lainnya, memasuki masa Pemilu 2024 diharapkan semua dapat berjalan dengan lancar dan tertib. 

“Memasuki perayaan Natal 2023 & Tahun Baru 2024 semua unsur ikut terlibat, baik dinas terkait, pemerintah hingga masyarakat ikut menjaga kondusifitas, karena Jateng juga menjadi pusat arus mudik maka semua harus dipersiapkan dengan baik. Terkait masalah inflasi, semua perlu diwaspadai terutama lonjakan harga di pasar, harus terpantau dan stabil mengingat jelas akhir taun dipastikan banyak harga pasar yang naik,”  terang legislator asal PDI P itu.(tyo-rafdan/priyanto)

SEMARANG - Forum Komunikasi Pimpinan Daerah (Forkopimda) Provinsi Jawa Tengah meminta untuk setiap dinas atau instansi terkait jelang Hari Libur Natal...

GEDUNG BERLIAN - DPRD Provinsi Jateng ternyata menjadi daya tarik tersendiri bagi mahasiswa Universitas Negeri Semarang (Unnes). Pasalnya, kampus Yellow Jacket itu sudah...

SLAWI - Pengelolaan Data Terpadu Kesejahteraan Sosial (DTKS) mendapat sorotan Komisi E DPRD Provinsi Jateng. Hal itu terlihat saat diskusi di...

"
KPU Jakbar jamin kesetaraan pemilih pada Pemilu 2024,Antaranews.com,33 mnt lalu,https://www.antaranews.com/berita/3857520/kpu-jakbar-jamin-kesetaraan-pemilih-pada-pemilu-2024,"Penyandang disabilitas melakukan simulasi pencoblosan saat kegiatan Sosialisasi Pemilu Komisi Pemilihan Umum (KPU) di Balai Besar Rehabilitasi Sosial Bina Daksa (BBRSBD) Prof. Dr. Soeharso, Solo, Jawa Tengah, Jumat (12/4/2019). ANTARA FOTO/Mohammad Ayudha/aww/aa.

"
Jadwal Lengkap Tahapan Pemilu 2024 dari Awal Sampai Akhir,detikNews,6 jam lalu,https://news.detik.com/pemilu/d-7073659/jadwal-lengkap-tahapan-pemilu-2024-dari-awal-sampai-akhir,"Sebentar lagi Indonesia akan menggelar Pemilihan Umum (Pemilu) yang berlangsung di tahun 2024. Selain memilih Presiden dan Wakil Presiden, Pemilu digelar untuk menentukan anggota DPR, anggota DPRD Provinsi, anggota DPRD kabupaten/kota, dan anggota DPD.

Sebagai informasi, Indonesia melaksanakan Pemilu setiap lima tahun sekali. Pemilu sebelumnya digelar pada tahun 2019 yang berhasil dimenangkan oleh pasangan Joko Widodo (Jokowi) dan K.H. Ma'ruf Amin.

Lima tahun berselang, tepatnya pada Februari 2024, seluruh masyarakat Indonesia akan kembali menentukan siapa Presiden dan Wakil Presiden selanjutnya yang menjabat untuk periode 2024-2029.

Tapi, sebelum sampai di hari-H pemungutan suara, ada banyak tahapan yang dilakukan oleh Komisi Pemilihan Umum (KPU). Lantas, seperti apa tahapan Pemilu 2024? Simak selengkapnya berikut ini.

Meski Pemilu baru dilaksanakan tahun depan, namun sejumlah persiapan telah dilakukan oleh KPU sejak dini. Simak jadwal tahapan Pemilu 2024 secara lengkap di bawah ini:

Sebagai informasi, penetapan jadwal Pemilu 2024 telah diatur dalam Peraturan Komisi Pemilihan Umum No. 3 Tahun 2022 tentang Tahapan dan Jadwal Penyelenggaraan Pemilihan Umum Tahun 2024.

Seperti kita ketahui, ada tiga calon presiden dan calon wakil presiden yang mendaftar untuk Pemilu 2024.

Kemudian, KPU melakukan pengundian dan penetapan nomor urut capres dan cawapres untuk Pemilu 2024 di Kantor KPU, Selasa (14/11/2023) malam. Simak hasil pengundiannya di bawah ini:

Perihal nomor urut capres dan cawapres pada Pemilu 2024, hal tersebut sudah termaktub dalam Keputusan KPU Nomor 1644 tahun 2023 tentang Nomor Urut Pasangan Calon Peserta Pilpres 2024.

Itu dia jadwal lengkap tahapan Pemilu 2024 dari awal sampai akhir. Semoga artikel ini dapat menambah informasi detikers.

"
Pemilu 2024: Pecah Kongsi di Kandang Banteng,Kabar24,1 hari lalu,https://kabar24.bisnis.com/read/20231204/15/1720601/pemilu-2024-pecah-kongsi-di-kandang-banteng,"Bisnis.com, JAKARTA – Jawa Tengah sering dijuluki sebagai 'Kandang Banteng’. Hal ini merujuk kepada fakta bahwa sebagian besar warga Jateng memiliki kecenderungan untuk memilih PDI Perjuangan (PDIP).

Julukan Jateng sebagai kandang banteng sejatinya memiliki sejarah yang panjang. Sejak Indonesia abad ke XX, Jateng telah menjadi salah satu sumbu utama pergerakan nasional. Di wilayah yang kini disebut Jateng, Cipto Mangunkusumo sempat mengkritik habis penguasa Kasunanan Surakarta, Pakubuwono X.

Selain itu, Jawa Tengah, terutama Semarang, adalah saksi bisu pertentangan antara Sarekat Islam (SI) Putih dengan Sarekat Islam Merah. SI Merah yang berpusat di Semarang, kemudian berkembang menjadi Partai Komunis Indonesia (PKI). 

Pada masa kemerdekaan, Jawa Tengah menjadi pusat pertentangan kaum feodal dengan gerakan revolusioner. Terjadi revolusi sosial di Solo dan tiga daerah di Pantura Barat. Jateng juga menjadi pusat kaum nasionalis.

PNI adalah salah satu partai besar di Jawa Tengah pada masa Orde Lama. Kejayaan partai ini sempat redup pada masa Orde Baru, anak ideologis PNI yakni PDIP berhasil bangkit membawa pemikiran Marhaen ala Sukarno dan tampil sebagai salah satu partai terbesar di Indonesia hingga saat ini. 

Dalam catatan Bisnis, setiap ajang pemilu sejak Era Reformasi '98, caleg dan capres-cawapres usungan PDIP selalu mendapat suara terbanyak di Jateng.

Anomali suara PDIP hanya terjadi pada Pilpres 2009, yang mana pasangan Susilo Bambang Yudhoyono (SBY)-Boediono bisa mengalahkan perolehan suara pasangan Megawati Soekarnoputri-Prabowo Subianto di Jateng.

Kini, jelang Pilpres 2024, PDIP berkomitmen agar anomali 2009 tidak terjadi lagi. Partai berlambang banteng bermoncong putih itu ingin memastikan pasangan capres-cawapres usungannya, Ganjar Pranowo – Mahfud MD bisa mendapatkan suara mayoritas warga Jateng.

Komitmen itu sudah ditekankan oleh Ketua Umum PDIP Megawati Soekarnoputri. Ketika memberikan pidato dalam Rakornas Relawan Ganjar-Mahfud di JI-Expo Kemayoran, Jakarta Pusat pada Senin (27/11/2023), Megawati mengatakan kemenangan Ganjar-Mahfud di Jateng merupakan harga mati.

""Jawa Tengah, nah ini terakhir, kenapa? Kalau ndak menang di situ, mesti saya apa ya.. karena tempat kelahiran saya,"" ujar Megawati.

Meski demikian, PDIP punya tantangan serius untuk mewujudkan itu. Pada Pilpres 2024, pasangan Ganjar-Mahfud punya lawan serius yang juga tokoh dari Jateng: Gibran Rakabuming Raka.

Gibran merupakan cawapres pendamping Prabowo Subianto, yang masih menjabat sebagai wali kota Solo. Dia juga merupakan putra sulung dari Presiden Joko Widodo (Jokowi).

Sebagai catatan, Pada 2019 pasangan capres-cawapres Jokowi-Maruf Amin menang mutlak di Jateng. Jokowi-Maruf memperoleh 18.825.511 suara atau 77,29% dari total suara sah.

Ketua DPP PDIP Puan Maharani menyadari betul tantangan ini. Meski Gibran memutuskan bergabung dengan pihak lawan, Puan menyatakan PDIP dan Ganjar-Mahfud berniat tidak mengurangi perolehan suara di Jateng.

“Kita akan berjuang mempertahankan suara di Jawa Tengah dan tentu saja Insya Allah juga kami bisa menambah suara di Jawa Tengah juga,” kata Puan di Kebun Raya Indrokilo, Boyolali, Jawa Tengah, Minggu (3/12/2023), dikutip dari rilis medianya.

Tak heran memang, menurut data pemilih tetap yang dirilis Komisi Pemilihan Umum (KPU), Jateng menjadi provinsi ketiga dengan jumlah pemilih terbanyak yaitu sebesar 28.289.413 orang.

Pasangan Ganjar-Mahfud diusung oleh PDIP, PPP, Hanura, dan Perindo. Pada Pemilu 2019, keempat partai politik (parpol) itu mendapat setidaknya 37,73% suara dari total 19,42 juta suara sah di Jateng.

Sementara itu, pasangan Prabowo-Gibran diusung oleh Gerindra, Golkar, Demokrat, PAN, PSI, Garuda, PBB, dan Gelora. Pada Pemilu 2019, kedelapan parpol itu memperoleh tidak kurang dari 32,99% suara sah di Jateng.

Sedangkan pasangan Anies Baswedan – Muhaimin Iskandar diusung oleh PKB, NasDem, PKS, dan Ummat. Pada Pemilu 2019, keempat parpol itu meraih 27,5% suara sah di Jateng.

Artinya, jika dilihat dari kekuatan parpol pengusung pada empat tahun lalu maka kemungkinan Ganjar-Mahfud akan berkuasa di Jateng. Meski demikian, 37,73% mungkin masih terlalu sedikit untuk standar ‘Kandang Banteng’.

Seperti kata Puan, mereka ingin setidaknya mempertahankan suara seperti 2019. Saat itu, pasangan usungan PDIP, Jokowi-Ma’ruf, sangat dominan dengan memperoleh 77,29% persen suara.

Meski demikian, kini Jokowi dan PDIP sendiri seakan sudah lepas ikatan. Megawati secara tersirat sudah mengeluarkan sindiran tajam ke cara Jokowi menggunakan kekuasaannya.

Apalagi, kini anak sulung Jokowi menjadi tandem Prabowo. Oleh sebab itu, sangat mungkin sebagian suara 77,29% pemilih Jokowi pada Pilpres 2019 akan beralih ke pasangan Prabowo-Gibran.

Namun, magis Kandang Banteng sepertinya belum boleh diremehkan kubu Prabowo ataupun Jokowi. Sejumlah hasil survei menunjukkan pasangan Ganjar-Mahfud masih memperoleh mayoritas suara publik di Jateng.

Survei dari Lembaga Survei Indonesia (LSI) pada 16 – 18 Oktober 2023 misalnya, yang menunjukkan Ganjar memperoleh 50,8% suara di Jateng-DIY Yogyakarta. Angka itu jauh dari perolehan suara Prabowo (22%) dan Anies (10,4%).

Begitu juga dengan hasil survei Indikator Politik Indonesia pada 27 Oktober – 1 November 2023, yang menunjukkan Ganjar-Mahfud memperoleh 64,7% suara di Jateng-DIY Yogyakarta. Prabowo-Gibran (22%) dan Anies-Imin (7,9%) tertinggal jauh di sini.

Sebagai perbandingan terakhir, temuan survei Poltracking Indonesia pada 28 Oktober – 3 November 2023 juga menunjukkan hasil yang tak jauh beda. Perolehan suara Ganjar-Mahfud (53,3%) masih digdaya daripada Prabowo-Gibran (27,2%) dan Anies-Imin (13,3%) di Jateng-DIY Yogyakarta.

"
INFOGRAFIS: Perbedaan 5 Surat Suara di Pemilu 2024,CNN Indonesia,15 jam lalu,https://www.cnnindonesia.com/nasional/20231204124229-620-1032575/infografis-perbedaan-5-surat-suara-di-pemilu-2024,"Komisi Pemilihan Umum (KPU) sudah menyebar desain 5 surat suara yang akan dicoblos masyarakat di Pemilu 2024 mendatang.

"
"Eks Petugas KPPS: Kalau Bisa Pemilu 2024 Jangan Serentak, Kasihan 
Petugas... Halaman all - Kompas.com",Megapolitan - KOMPAS.com · 1 hari lalu,1 hari lalu,https://megapolitan.kompas.com/read/2023/12/04/18141571/eks-petugas-kpps-kalau-bisa-pemilu-2024-jangan-serentak-kasihan-petugas%3Fpage%3Dall,"JAKARTA, KOMPAS.com - Eks petugas Kelompok Penyelenggara Pemungutan Suara (KPPS) bernama Winda Fitri (37) berharap agar pemerintah tidak menyelenggarakan Pemilihan Umum (Pemilu) serentak pada 2024.

“Kalau saran aku sih, jangan dibarengin. Maksudnya, kayak Pemilihan Presiden (Pilpres), Pemilihan Legislatif (Pileg) dan lain-lain. Terlalu banyak, kasihan petugas,” kata Winda saat ditemui Kompas.com di Kebagusan, Pasar Minggu, Jakarta Selatan, Senin (4/12/2023).

Walau pekerjaannya hanya duduk, tapi menurut Winda, petugas KPPS memerlukan konsentrasi yang penuh karena menyangkut negara.

“Kami kan ibaratnya itu tugas negara. Kayaknya, honor yang segitu, enggak sebanding. Sama itu lho, terlalu banyak yang kita coblos, terlalu banyak caleg. Kadang kan lansia kurang paham, beda sama anak sekarang,” ujar Winda.

Winda yang saat itu masih berusia 32 tahun diajak oleh Ketua RT setempat. Alasannya, untuk mengisi waktu kosong sebagai ibu rumah tangga (IRT) dan tambahan pemasukan dengan bayaran Rp 800.000.

“Aku sudah dua kali jadi petugas KPPS, 2014 dan 2019. Di 2019, aku ditugaskan di TPS 49 di Kebagusan. Kalau enggak salah, ada 200-an pemilih pada saat itu,” kata Winda.

Karena sudah ada perbandingan, menurut Winda, Pemilu 2019 menjadi suatu yang sangat melelahkan karena banyaknya surat suara.

Pada Pemilu 2019, terdapat lima suara untuk Presiden dan Wakil Presiden, anggota Dewan Perwakilan Daerah (DPD), Dewan Perwakilan Rakyat (DPR) RI, Dewan Perwakilan Rakyat Daerah (DPRD) Provinsi, dan DPRD kabupaten/kota.

Sebelum pelaksanaan Pemilu 2019, Winda bersama petugas KPPS yang lain harus mengikuti pelatihan atau Bimbingan Teknis (Bimtek) selama tiga bulan.

Sewaktu hari pelaksanaan, yakni 17 April 2019, ia harus tiba di tempat pemungutan suara (TPS) pukul 06.00 WIB. Oleh karena itu, Winda harus meninggalkan anak dan suaminya di rumah.

“Sudah harus stand by jam 06.00 WIB. Nah, jam 07.00 WIB kami upacara dulu, berdoa, nyanyi lagu Indonesia Raya. Nah, ya sudah, mulai,” ucap Winda.

“Terus istirahat, mulai lagi. Nah, penutupan pemungutan suara itu kalau enggak salah pukul 13.00 WIB. Setelahnya, penghitungan,” ujar Winda lagi.

Kendati demikian, Winda tidak menyangka waktu penghitungan ternyata cukup lama dan berbeda jauh pada Pemilu 2014 yang selesai pukul 15.00 WIB.

"
Dinkes DKI Siap Fasilitasi Pemeriksaan Kesehatan KPPS Pemilu 2024,detikNews · 1 hari lalu,1 hari lalu,https://news.detik.com/pemilu/d-7071497/dinkes-dki-siap-fasilitasi-pemeriksaan-kesehatan-kpps-pemilu-2024,"Dinas Kesehatan (Dinkes) DKI Jakarta siap memfasilitasi pemeriksaan kesehatan untuk calon anggota Kelompok Penyelenggara Pemungutan Suara (KPPS) Pemilu 2024. Hal ini dilakukan untuk memastikan setiap anggota KPPS Pemilu 2024 di Jakarta dalam kondisi sehat, terutama saat melaksanakan tugas.

""Pada dasarnya sih Pemerintah Provinsi DKI Jakarta bisa memfasilitasi kegiatan medical check up (MCU) itu. Karena memang itu salah satu mekanisme yang cukup penting,"" kata Kepala Dinkes DKI Jakarta Ani Ruspitawati, kepada wartawan di Gedung DPRD DKI Jakarta, Senin (4/11/2023).

""Misalnya kayak punya riwayat jantung, riwayat hipertensi atau penyakit lainnya. Jadi supaya lebih ada kewaspadaan,"" sambungnya.

Meski begitu, Ani menyampaikan, Dinkes DKI Jakarta memerlukan surat permohonan dari Komisi Pemilihan Umum (KPU), untuk menyediakan fasilitas MCU. Nantinya, surat permohonan itu akan didorong untuk dijadikan Instruksi Sekretaris Daerah (Insekda) DKI Jakarta, yang menjadi dasar pelaksanaan MCU oleh Dinas Kesehatan.

""Kami memerlukan surat permintaan untuk melakukan, mengubah dari KPU. Nanti dari surat ini kami akan mendorong menjadi Insekda, sehingga kemudian pembiayaannya bisa kami laksanakan,""ujarnya.

Sebelumnya, Ketua KPU RI Hasyim Asy'ari meminta pemerintah daerah (Pemda) melakukan pemeriksaan kesehatan bagi para pengawas KPPS di Pemilu 2024 mendatang. Hasyim juga mendorong optimalisasi jaminan sosial di sektor ketenagakerjaan.

Hal itu disampaikan Hasyim dalam diskusi terkait warning dan potensi keberulangan kematian massal petugas KPPS pada Pemilu dan Pilkada serentak 2024 dan evaluasi kinerja serta capaian tim pemenuhan hak konstitusional warga negara TA 2023 di Hotel Novotel Cikini, Jalan Cikini Raya, Jakarta Pusat, Kamis (12/11). Rapat ini juga dihadiri perwakilan dari Bawaslu, Kemenkes dan Komnas HAM.

""Di antaranya meminta kepada pemerintah daerah untuk memberikan pemeriksaan kesehatan supaya teman-teman yang bertugas sudah pasti sehat dan usia maksimal 50 tahun. Dan kemudian ada Instruksi Presiden No 2 Tahun 2021 tentang optimalisasi jaminan sosial sektor ketenagakerjaan,"" kata Hasyim di Jakarta Pusat, Kamis (12/10/2023).

Dia mengaku sudah berkoordinasi dengan Pemda dan KPU provinsi untuk menganggarkan pengadaan Jamsos tersebut. Menurutnya, hal itu menjadi kewajiban yang harus dimiliki oleh petugas KPPS.

"
"Cara Daftar KPPS Pemilu 2024, Berikut Jadwal, Syarat Pendaftaran dan Gajinya",KOMPAS.tv · 10 jam lalu,10 jam lalu,https://www.kompas.tv/nasional/466539/cara-daftar-kpps-pemilu-2024-berikut-jadwal-syarat-pendaftaran-dan-gajinya,"JAKARTA, KOMPAS.TV - Pendaftaran seleksi Kelompok Penyelenggara Pemungutan Suara (KPPS) Pemilu 2024 sebentar lagi akan dibuka.

Berdasarkan Keputusan Komisi Pemilihan Umum Nomor 1669 Tahun 2023, jadwal pendaftaran KPPS Pemilu 2024 dibuka 11 Desember 2023.

Setiap Tempat Pemungutan Suara (TPS) akan direkrut 7 anggota KPPS dengan rincian 1 ketua dan 6 anggota.

Nantinya, KPPS Pemilu 2024 akan bertugas dengan masa kerja satu bulan yakni mulai 25 Januari-25 Februari 2024.

Adapun tempat pendaftaran KPPS adalah di sekretariat PPS yang berada dalam satu lokasi yang sudah ditentukan kantor Kelurahan.

Nantinya mereka akan diseleksi oleh PPS, untuk ditetapkan sebagai petugas KPPS oleh KPU Kabupaten/kota setempat.

Artikel ini merupakan bagian dari Lestari KG Media, sebuah inisiatif untuk akselerasi Tujuan Pembangunan Berkelanjutan.

 Sumber : Kompas TV



KOMENTAR





Berkomentarlah secara bijaksana dan bertanggung jawab. Komentar
sepenuhnya menjadi tanggung jawab komentator seperti diatur dalam UU ITE

Kirim

Mengirim...






Laporkan Komentar





Iklan atau spam







Porno atau asusila







Ujaran kebencian atau SARA







Perundungan atau pelecehan







Lainnya







Batal


Laporkan









Terima kasih. Kami sudah menerima laporan Anda. Kami akan menghapus komentar yang bertentangan dengan Panduan Komunitas dan UU ITE.


OK



















Terbaru
Terlama
Terpopuler








Laporkan Komentar





Iklan atau spam







Porno atau asusila







Ujaran kebencian atau SARA







Perundungan atau pelecehan







Lainnya







Batal


Laporkan









Terima kasih. Kami sudah menerima laporan Anda. Kami akan menghapus komentar yang bertentangan dengan Panduan Komunitas dan UU ITE.


OK






LOAD MORE














Lihat Semua








TTS - Teka - Teki Santuy Eps 121 Tantangan Uji Pengetahuan







TTS - Teka - Teki Santuy Eps 120 Pahlawan Nasional di Indonesia







TTS - Teka - Teki Santuy Eps 119 Petualangan Kuliner Dunia










BERITA LAINNYA












Peristiwa

Panitia Klarifikasi Tidak Ada Intimidasi dari Polisi saat Pentas Teater ""Musuh Bebuyutan"" di TIM

5 Desember 2023, 23:14 WIB










VOD

Update! BKSDA Sumbar Konfirmasi 12 Jenazah Korban Erupsi Gunung Marapi Berhasil Diidentifikasi

5 Desember 2023, 23:13 WIB










Ekonomi dan Bisnis

Pedagang Pasar Mengeluh Harga Cabai di Lampung Tembus Rp100 Ribu, Zulhas: Bagus dan Cukup Stabil

5 Desember 2023, 23:06 WIB










Peristiwa

Ma'ruf Amin Buka Opsi Pengungsi Rohingya Ditampung di Pulau Galang

5 Desember 2023, 23:00 WIB










Ekonomi dan Bisnis

Garuda Indonesia Gandeng BSI Gelar Pameran Umrah, Catat Tanggal dan Lokasinya

5 Desember 2023, 23:00 WIB








 







Loker

Dibuka hingga 13 Desember, Ini Cara dan Link untuk Mendaftar Lowongan Kerja di PT Kimia Farma

5 Desember 2023, 23:00 WIB










VOD

Apartemen Firli Bahuri di Kawasan Dharmawangsa Digeledah Polda Metro Jaya

5 Desember 2023, 22:49 WIB










VOD

Ganjar Tanggapi Pernyataan Ade Armando soal Politik Dinasti Yogyakarta

5 Desember 2023, 22:39 WIB










VOD

Gencatan Senjata Berakhir, Israel Perluas Serangan Daratnya hingga ke Selatan Gaza

5 Desember 2023, 22:29 WIB










VOD

Puan Maharani Angkat Bicara soal Penggunaan Hak Interpelasi DPR Terkait Kasus E-KTP Setya Novanto

5 Desember 2023, 22:20 WIB



 


Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan
aktivitas tidak biasa pada akunmu.

"
KPU Lanjutkan Pembahasan Format Debat Capres-Cawapres Pemilu 2024,Kompas.id,8 jam lalu,https://www.kompas.id/baca/video/2023/12/05/kpu-lanjutkan-pembahasan-format-debat-capres-cawapres-pemilu-2024,"Komisi Pemilihan Umum akan meneruskan pembahasan format debat capres-cawapres dengan tim pasangan ketiga kontestan.

"
"Kampanye di Depok, AHY Ingatkan Pemilu 2024 Disambut dengan Suka Cita",Liputan6.com,2 jam lalu,https://www.liputan6.com/pemilu/read/5473335/kampanye-di-depok-ahy-ingatkan-pemilu-2024-disambut-dengan-suka-cita,"Kampanye Pemilu 2024 kali ini, dia bersama Calon Anggota Legislatif DPR RI Dapil VI nomor urut 2 Ingrid Kansil, AHY menyapa warga Pancoran Mas, Depok.

“Bapak-bapak, Ibu-ibu semuanya sehat ya. Saya secara khusus hadir di sini selain ingin menyapa masyarakat di Pancoran Mas, juga secara khusus ingin memberikan dukungan penuh kepada salah satu kader terbaik Partai Demokrat, seorang Srikandi Partai Demokrat yang bernama Mba Ingrid Kansil. Sudah dikenali wajahnya kan Bu?” kata AHY, dalam keterangannya, Selasa (5/12/2023).

“Mari songsong 14 Februari 2024 ini dengan suka cita. Pemilu merupakan milik rakyat, merupakan pesta demokrasi milik rakyat sehingga saya berharap kita bisa benar-benar menggunakan hak suara kita. Cuma lima tahun sekali Bapak, Ibu sekalian. Jangan sampai tidak menggunakan hak pilih kita,” ajak AHY.

“Ibu-ibu saat ini saya sedang berikhtiar, Insyaallah kalo saya ditakdirkan untuk terpilih, kita bisa ketemu lagi di sini. Kita buat banyak program pemberdaayan perempuan. Kita kembangkan pengusaha UMKM,” kata Ingrid.

Dia juga memperagakan pada ibu-ibu bagaimana caranya mencoblos tanda gambar Partai Demokrat nomor 14. Peragaan ini menggunakan kertas suara seperti yang akan dipakai pada pemilu tanggal 14 Februari 2024 nanti, hanya saja ukurannya lebih kecil.

“Karena niat saya ibadah, saya ingin memperbanyakan tabungan akhirat saya. Jadi mohon doa dan dukungannya ya Ibu-Bapak. Kalau niatnya ibadah, insya Allah jalannya dipermudah,” tutupnya.

* Fakta atau Hoaks? Untuk mengetahui kebenaran informasi yang beredar, silakan WhatsApp ke nomor Cek Fakta Liputan6.com 0811 9787 670 hanya dengan ketik kata kunci yang diinginkan.

"
