title,content
"Lirik Lagu Di Tepian Rindu – Davi Siumbing, Beserta Maknanya","KOMPAS.com – Komika Davi Siumbing merilis lagu “Di Tepian Rindu” pada 27 November 2023.

Lagu “Di Tepian Rindu” sempat menjadi trending di YouTube. Sejauh ini sudah ditonton lebih dari 1,9 juta kali, dan menduduki trending 4 YouTube Music.

Kebanyakan pendengar merasa lagu “Di Tepian Rindu” memiliki keterkaitan dengan kehidupan banyak orang.

Lagu ""Di Tepian Rindu"" menjadi lagu kedua yang diciptakan Davi Siumbing setelah lagu ""Kerasnya Kota"".

Pah, anakmu mulai dewasaSudah mulai maluMencium tanganmu

Pah, anakmu mulai besarSudah tak lagi mauBermain denganmu

Anakmu mulai dewasaSudah mulai mengertiArti kehidupanPah, anakmu selalu merindumuIngin mencium keningmu

Pah, seandainya kau tahuKu selalu merindukanSaat-saat bermain, berlariBerbohong tentang masakan IbuBermain layang-layangHingga petang datang menyapaKu di tepian rinduPah, anakmu mulai dewasaSudah mulai maluMencium tanganmuPah, anakmu mulai besarSudah tak lagi mauBermain denganmuAnakmu mulai dewasaSudah mulai mengertiArti kehidupan

Pah, anakmu selalu merindumuIngin mencium keningmuPah, seandainya kau tahuKu selalu merindukanSaat-saat bermain, berlariBerbohong tentang masakan IbuBermain layang-layangHingga petang datang menyapaKu di tepian rinduDududududuuuu dududuuuuuuduuu dududuuuuuKu di tepian rinduKu di tepian rindu

Davi Siumbing sendiri menciptakan lagu “Di Tepian Rindu” untuk menceritakan betapa ia merindukan masa kecilnya yang belum mengenal apa-apa.

Dikisahkan seorang anak merindukan masa kecil dan sosok ayahnya. Namun anak tersebut sungkan mengungkapkan rasa rindunya.

Anak tersebut merasa malu untuk mengekspresikan rasa rindunya kepada ayahnya karena perubahan fase menuju dewasa yang ia alami.



"
"Debit Air di Sungai Gambir Semarang Meningkat, Ternyata Ada Penyempitan hingga 4 Meter","SEMARANG, KOMPAS.com - Sungai Gambir yang berada di Jalan Mulawarman, Kecamatan Tembalang, Kota Semarang, Jawa Tengah (Jateng) mengalami penyempitan dan pendangkalan.

Wali Kota Semarang, Hevearita Gunaryanti Rahayu mengatakan, penyempitan dan pendangkalan tersebut mengakibatkan debit air meningkat.

""Kami temukan lagi ada penyempitan di Sungai Gambir. Mulai Graha Estetika sampai di Jembatan Mulawarman lebar kira-kira 8 meter. Tetapi setelah itu menyempit jadi 4 meter sepanjang 600 meter,"" kata perempuan yang akrab disapa Ita tersebut kepada awak media, Selasa (5/12/2023).

Dia mengatakan sedimentasi yang menyebabkan penyempitan itu akan dibersihkan dalam waktu dekat. Selain itu, Sungai Gambir akan dilakukan pemantauan secara rutin.

""Dinas Pekerjaan Umum (DPU) Kota Semarang melakukan pemantauan rutin agar aliran air lancar sampai ke Waduk Universitas Diponegoro (Undip),"" paparnya.

Nantinya, sedimentasi yang ada di Sungai Gambir akan dikeruk. Sampah-sampah plastik dan barang lainnya yang mengendap di sungai tersebut juga akan dikeruk.

""Setelah itu lebar lagi sampai ke Waduk Undip,"" ujar Mba Ita.

Selain Sungai Gambir, pihaknya juga melakukan pemantauan penyebab genangan di Perumahan Korpri Tembalang yang terjadi pada Senin (4/12/2024) malam.

Menurutnya, ketika hujan dengan intensitas tinggi, perumahan itu akan tergenang lantaran secara geografis berbentuk cekungan.

""Ada permasalahan lama yang belum terselesaikan, seperti di Perumahan Korpri Tembalang, bentuknya cekung jadi airnya harus ditarik menggunakan pompa karena saluran airnya kecil,"" katanya.

Lebih lanjut, Ita menyebut warga telah mempunyai pompa hasil swadaya untuk mengatasi setiap terjadinya genangan. Namun, pada Senin (4/12/2024) malam karena hujan deras pompa milik warga tak mampu mengatasi debit air yang besar.

Mengetahui hal tersebut, dia telah menerjunkan pompa portabel milik Badan Penanggulangan Bencana Daerah (BPBD) Kota Semarang. Termasuk memperlebar saluran pembuangannya.

""Kami pasang pompa mobile dari BPBD Kota Semarang, kami juga ucapkan terima kasih warga melakukan swadaya pemasangan pompa,"" ujarnya.

"
"Hadapi Musim Hujan, Heru Budi Periksa Kesiapan Rumah Pompa Waduk Pluit","JAKARTA, KOMPAS.com - Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono meninjau Rumah Pompa Waduk Pluit, Jakarta Utara, pada Selasa (5/12/2023).

Kegiatan tersebut dilakukan guna memeriksa kesiapan rumah pompa dalam menghadapi musim hujan.

“Saya bersama Plt. Kepala Dinas Sumber Daya Air (SDA) dan para Wali Kota mengecek kepastian kesiapan pompa-pompa air di sini untuk mengatasi dampak musim hujan di wilayah Jakarta. Salah satunya, yang kita tinjau hari ini di Rumah Pompa Waduk Pluit,” kata Heru dalam keterangannya, Selasa.

Heru menjelaskan, Pemerintah Provinsi DKI sudah melakukan perbaikan beberapa pompa air dan pipa serta trafo listrik di Rumah Pompa Waduk Pluit.

Dengan begitu, rumah pompa dapat berfungsi dengan baik untuk mengalirkan air ke Waduk Pluit apabila hujan deras terjadi.

“Tadi Kepala Dinas SDA menyampaikan ada beberapa yang sudah diganti, pompa air maupun pipanya, juga trafo listriknya. Sehingga, rumah pompa Waduk Pluit ini sudah siaga dan dapat dihidupkan pompa-pompanya sesuai dengan SOP (Standar Operasional Prosedur) Siaga Banjir,” ujar Heru.

Dalam peninjauan yang dilakukan, Heru berpesan kepada petugas Rumah Pompa Waduk Pluit yang berjumlah sekitar 20 personel agar dapat merawat seluruh peralatan dan infrastruktur di rumah pompa tersebut dengan baik.

Sehingga pada saat pompa air dibutuhkan, mesin pompa dapat beroperasi secara optimal.

“Untuk teman-teman yang menangani rumah pompa Waduk Pluit dari Dinas SDA, ada 15 hingga 20 orang, saya titip rumah pompa ini. Supaya suatu saat dibutuhkan, mesin-mesin pompa ini dapat dihidupkan sesuai dengan waktu SOP yang tepat,"" tutur Heru.

"
"Selalu Berpikir Masih Ada Waktu, Diah Permatasari dan Ozi Syahputra Menyesal Selalu Menunda Ajakan Kiki Fatmala Bertemu","JAKARTA, KOMPAS.com- Bersahabat selama puluhan tahun, selebritas Diah Permatasari dan Ozi Syahputra ungkap penyesalan mereka usai kepergian Kiki Fatmala.

Memiliki kesibukan masing-masing, baik Diah maupun Ozi sering menunda-nunda ajakan Kiki untuk bertemu.

""Kami berdua ini nyeselnya, Kiki suka 'kapan dong kita jalan lagi,' oh iya nanti,"" kata Ozi dikutip dari Brownis Trans tv.

""Kita, iya nanti tanggal segini, dia (Diah) juga begitu, nanti-nanti, akhirnya...,"" lanjut Ozi.

Menyambung ucapan Ozi Syahputra, Diah kemudian mengatakan, pada akhirnya mereka benar-benar tidak bisa bertemu lagi untuk selamanya.

""Kita enggak ketemu lagi,"" sambung Diah.

Karena itu, Diah merasa sangat menyesal dan ingin meminta maaf pada Kiki Fatmala seandainya masih ada kesempatan lain untuknya.

""Kalau saya ada kesempatan lagi buat Kiki, saya kepengin minta maaf sama Kiki, minta maaf banget Ki,"" ucap Diah.

""Selalu saya pikir masih ada waktu besok, selalu menunda-nunda, karena memang saya sibuk banget, saya menyesal banget,"" imbuhnya.

Hal yang sama juga dirasakan Ozi yang karena kesibukannya, tak bisa meluangkan waktu ketika Kiki mengajak bertemu.

""Saya sering ke daerah, 'Ki sorry ya enggak jadi,' oh ya udah enggak apa-apa, nanti next ya,"" ujar Ozi menirukan ucapan Kiki padanya.

""Kayak gitu lagi, itu yang akhirnya...,"" sambung Ozi yang kembali terdiam dan tak melanjutkan kata-katanya.

Artis peran Kiki Fatmala sempat mengalami koma seminggu sebelum meninggal dunia.

Kiki Fatmala sudah berjuang melawan penyakit kanker paru selama dua tahun terakhir. Namun dalam satu bulan terakhir kondisinya terus menurun.

Penyebaran kanker paru-parunya sudah mencapai ke otak sejak Desember 2021.

Kiki Fatmala mengembuskan napas terakhirnya hari ini di usia 56 tahun. Jenazah Kiki Fatmala dimakamkan di San Diego Hills Memorial Parks pada Sabtu, 2 Desember 2023, pukul 10.00 WIB.

"
Bawaslu Sleman Temukan Ratusan Alat Peraga Kampanye yang Melanggar,"YOGYAKARTA,KOMPAS.com - Badan Pengawasan Pemilu (Bawaslu) Kabupaten Sleman mencatat ada ratusan alat peraga kampanye (APK) yang masuk dalam kategori melanggar.

""Hasil pengawasan sementara sudah ada 377 alat peraga kampanye yang kami anggap melanggar,"" ujar Ketua Bawaslu Sleman, Arjuna Al Ichsan Siregar saat ditemui di Pemkab Sleman, Selasa (5/12/2023).

Arjuna menyampaikan 377 alat peraga kampanye yang melanggar tersebut tersebar di 14 kapanewon di Kabupaten Sleman. Kebanyakan alat peraga kampanye tersebut melanggar aturan pemasangan.

""Kebanyakan di pasang di pohon, tiang telepon, tiang listrik, Apill alat pemberi isyarat lalu lintas,"" ucapnya.

Menurut Arjuna, dari hasil pengawasan tersebut akan dibuat kajian pelanggaranya. Kemudian akan dikeluarkan rekomendasi ke Komisi Pemilihan Umum (KPU) Sleman.

Berdasarkan rekomendasi tersebut, KPU akan menindaklanjuti dengan mengirimkan surat kepada peserta Pemilu yang AP-nya melanggar. Misalnya agar menertibkan secara mandiri.

""Dan kalau memang nanti dalam waktu tertentu tidak ditertibkan, kalau tidak ya nanti KPU, Bawaslu sama Satpol akan berkoordinasi untuk melakukan penertiban,"" tegasnya.

Diungkapkan Arjuna proses pengawasan dilakukan setiap minggunya. Sehingga nantinya akan ada rekomendasi-rekomendasi yang akan disampaikan ke KPU terkait pelanggaran yang ditemukan.

""Proses pengawasan kita mingguan, jadi setiap minggu nanti kelihatanya akan ada kajian-kajian atau rekomendasi-rekomendasi yang kami sampaikan ke KPU,"" pungkasnya.

"
Mencoba Pijat Refleksi di Kokuo Signature agar Tubuh Lebih Rileks,"KOMPAS.com - Tingginya mobilitas masyarakat di perkotaan Jakarta saat ini dapat memicu berbagai efek negatif seperti stres. Apabila tidak diimbangi dengan pengendalian diri yang baik, maka hal tersebut bisa membuat produktivitas menurun.

Melihat kebutuhan itu, Kokuo Reflexology berkomitmen terus memberikan pelayanan terbaik demi kenyamanan dan rasa aman bagi masyarakat.

Kali ini, untuk semakin mendekatkan diri kepada masyarakat, khususnya yang sibuk di perkantoran, Kokuo Reflexology membuka cabang baru ke-19 di Jakarta Selatan bernama Kokuo Signature at Bumi Pakubuwono.

Menariknya, ini menjadi cabang Kokuo pertama dengan label Signature yang dapat memberikan pengalaman yang lebih premium dibandingkan dengan cabang lainnya.

""Hiruk pikuk kehidupan di Jakarta hingga kemacetan sehari-hari sangat rentan membuat masyarakat terkena stres.""

Demikian penuturan Muhammad Nurrohim selaku Direktur Kokuo Reflexology, melalui rilis yang diterima Kompas.com, Selasa (5/12/2023).

""Sangat penting mencapai zen dalam kehidupan sehari-hari agar tubuh dan pikiran juga lebih rileks, serta jauh dari tekanan,"" katanya.

Menjadi tempat yang strategis di tengah pusat kota Jakarta Selatan, menurutnya kehadiran Kokuo Signature at Bumi Pakubuwono ini menjadi spesial karena tempatnya yang lebih luas, lebih banyak fitur menarik, dan semakin memanjakan pelanggan.

""Sebagai cabang ke-19 dari Kokuo Reflexology, kami berharap bisa terus menjangkau Kokuo Fams, yaitu konsumen kami dari berbagai usia agar mereka mampu merasa segar kembali,"" ungkap Nurrohim.

Dok. Kokuo Reflexology Untuk semakin mendekatkan diri kepada masyarakat, khususnya yang sibuk di perkantoran, Kokuo Reflexology membuka cabang baru ke-19 di Jakarta Selatan bernama Kokuo Signature at Bumi Pakubuwono.

Hadir sejak 2003, Kokuo Reflexology senantiasa memadukan teknik pijat refleksi China dan Jepang dengan teknik tradisional Indonesia.

Memiliki pilihan durasi pijat dari 60-120 menit, ada beberapa pilihan spa menarik seperti foot and body reflexology untuk menghilangkan pegal-pegal setelah melakukan aktivitas berat seharian.

Selain itu, ada pula athletic massage sebagai pijat yang mampu mengurangi kekakuan dan nyeri otot, hingga seitai massage yang merupakan kombinasi dari pijatan dan stretching.

Sebagai treatment paling favorit, seitai massage memungkinkan pelanggannya lebih rileks dan ringan setelah beraktivitas berat.

Tak hanya merasakan perawatan yang rileks, pengunjung juga dimanjakan dengan suasana spa yang menenangkan lewat ambience Jepang yang dihadirkan, giant aquascape dengan aromaterapi, dan fasilitas kamar premium.

Pelanggan bahkan bisa menikmati theater room yang memungkinkan mereka dapat melakukan pijat sambil menonton Netflix.

"
"Singgung Rusuh Suporter PSIS Vs PSS Sleman, Kapolda Jateng Sebut Jomplang dengan Final Dunia U-17","SEMARANG, KOMPAS.com - Kapolda Jawa Tengah (Jateng), Irjen Ahmad Luthfi angkat bicara soal bentrok antarsuporter saat pertandingan PSIS Semarang vs PSS Sleman i Stadion Jatidiri, Minggu (3/12/2023).

Lutfi mengatakan pertandingan PSIS vs PSS Sleman tidak sekondusif gelaran final Piala Dunia U17. Padahal sama-sama digelar di Jateng.

Dia mengatakan Operasi Aman Bacuya 2023 yang berlangsung pada 10 November hingga 4 Desember 2023 berhasil mengamankan gelaran Piala Dunia U-17 di Stadion Manahan, di Kota Solo.

“Begitu operasi Bacuya Aman U-17 selesai, kita pertandingan di Jatidiri rusuh. Jadi jomplang ini,” ujar Luthfi dalam Rakor Forkopimda Kondusivitas Natal dan Tahun Baru yang berlangsung di Gradhika Bhakti Praja, Kota Semarang, Selasa (5/12/2023).

Bagi Luthfi, kejadian ini mesti menjadi pembelajaran bagi Kasatwil, Kapolres, dan para bupati/walikota.

“Ini agar Perpol Nomor 10 secara terus-menerus bisa sebagai landasan kita. Internasional saja aman, lokal ini tukeran, piye jal (terus bagaimana)?” Tegasnya.

Tak cukup sampai di situ, Luthfi menyebut tak usah menyertakan penonton untuk meminimalkan kericuhan pada pertandingan sepak bola berikutnya.

“Ini pelajaran kita bersama, kita perlu duduk bersama menyikapi kegiatan. Mendatang ada Piala Soeratin, tempatnya sama di Jatidiri. Kalau tidak salah tanpa penonton, wes ra usah (sudah tidak usah) tanpa penonton biar tidak rusuh,” bebernya.

Kendati demikian, dalam sambutannya, Luthfi mengapresiasi jajarannya yang telah menyukseskan jalannya operasi Aman Bacuya 2023.

“Polda Jateng melakukan operasi tumpang tindih terus menerus, ada Operasi Aman Bacuya. Sepak bola internasional dan sudah mendapat apresiasi Presiden RI, Presiden FIFA, termasuk para pelari internasional, tepuk tangan pada wilayah keamanan solo yang telah mengamankan U-17,” tandasnya.

"
"Dampak Perang Israel-Hamas, Pariwisata di Timur Tengah Lesu","Penulis: Mohamed Farhan & Cathrin Schaer/DW Indonesia

SHARM EL SHEIKH, KOMPAS.com - Julukan sebagai Madinah Al Salam atau ""kota perdamaian” tidak menyelamatkan Sharm El Sheikh di Mesir dari dampak perang di Jalur Gaza.

Tahun ini, kawasan wisata di tepi Laut Merah itu dhindari wisatawan mancanegara, terutama dari Israel dan Eropa yang saban musim dingin berbondong-bondong mencari kehangatan di selatan.

Pariwisata sejatinya menyumbang antara 10-15 persen kepada pendapatan negara tahunan di Mesir. Perannya sebagai penggerak ekonomi terutama diperlukan saat ini, ketika Mesir kesulitan merangsang pertumbuhan di tengah beban utang yang tinggi.

""Pariwisata bukan cuma menjadi sumber pendapatan utama bagi para pekerja di sektor pariwisata, tetapi juga ikut menafkahi bagi sektor lain, seperti di layanan taksi, supermarket dan taman hiburan,” kata Moustafa Hassan, seorang manajer restoran di Sharm El Sheikh.

Saat ini, penurunan angka wisatawan belum terlihat mencolok, terutama karena didorong larangan pembatalan bagi paket wisata murah yang sudah dipesan. Namun jumlah reservasi sudah berkurang drastis sejak dua bulan terakhir. Tren ini diyakini akan menetap untuk sementara waktu.

Menurut konsultan keuangan di Dubai dan Beirut, Nasser Saidi & Associates, sejak awal Oktober pembelian tiket pesawat menuju Mesir telah turun sebanyak 26 persen.

Adapun pemesanan tiket ke Yordania anjlok sebesar 49 persen dan ke Lebanon 74 persen dibandingkan periode yang sama tahun lalu.

Lebanon sudah kehilangan daya tarik sejak ledakan di pelabuhan Beirut tahun 2020 yang dibarengi krisis ekonomi berkepanjangan. Belum lama ini, Pemerintah AS menerbitkan peringatan perjalanan ke Lebanon dengan alasan konflik antara Israel dan Hezbollah.

Akibatnya, pada musim panas 2023 lalu jumlah wisatawan asing di Lebanon anjlok. Media lokal melaporkan, tingkat hunian hotel berkisar antara nol hingga tujuh persen, dibandingkan dengan masa normal di mana setidaknya seperempat kamar hotel terisi.

Yordania juga menerima pembatalan untuk hampir separuh reservasi hotel pada Oktober, menurut Hussein Helalat, juru bicara Asosiasi Hotel Yordania.

Setelah akhirnya pulih dari dampak pandemi Covid-19, pelaku bisnis perhotelan berharap tingkat hunian akan mencapai 95 persen pada kuartal terakhir tahun ini. Namun, harapan itu meleset jauh dengan tingkat hunian yang mentok di angka 80 persen, kata Helalat.

Anjloknya jumlah wisatawan mancanegara di Yordania diyakini diakibatkan absennya pelancong dari Eropa dan Amerika Serikat.

Di Yordania, sektor pariwisata secara rutin menyumbang antara 11 hingga 15 persen pada pendapatan negara.

Pengusaha pariwisata Yordania, Najwan Al Masri, juga mengakui adanya penurunan jumlah wisatawan. Menurutnya, jumlah wisman telah berkurang dari 760.000 pada September menjadi 730.000 pada Oktober.

Sejumlah negara jiran lain di kawasan juga merasakan dampak perang di Gaza. Dua negara Arab di Afrika Utara, Maroko dan Tunisia, misalnya sama-sama mencatatkan penurunan jumlah pemesanan antara 15 hingga 20 persen, lapor surat kabar Perancis Le Monde awal bulan ini.

Fenomena serupa diwaspadai oleh Pemerintah Siprus, di mana wisatawan Israel sebelumnya berjumlah rata-rata 15 persen dari total jumlah wisatawan.

Tren ini diyakini akan memicu gelombang kebangkrutan jika berlangsung lama. ""Jika terjadi perang yang berkepanjangan, seluruh industri pariwisata dan terutama usaha kecil yang didominasi generasi muda Yordania, akan menderita,” kata pengusaha pariwisata Yordania Al Masri.

Periode Natal selalu menjadi waktu yang penting bagi pariwisata dan jika konflik terus berlanjut, ""bahaya akan meluas ke musim berikutnya,” katanya.

Artikel ini pernah dimuat di DW Indonesia dengan judul Pariwisata di Timur Tengah Lesu Karena Perang Gaza.

"
Besaran UMP dan UMK 2024 di Provinsi Kalimantan Tengah,"KOMPAS.com - Simak besaran Upah Minimum Provinsi (UMP) dan Upah Minimum Kabupaten/Kota (UMK) untuk tahun 2024 di Provinsi Kalimantan Tengah.

Besaran UMP Kalimantan Tengah 2024 (UMP Kalteng 2024) ditetapkan sebagai dasar penetapan batasan upah minimal yang berlaku di kabupaten dan kota yang tercakup (UMK Kalteng 2024).

Sementara besaran UMK 2024 untuk kabupaten/kota se-Kalimantan Tengah ditetapkan sebagai batasan upah minimal yang berlaku di dalam wilayah masing-masing kabupaten atau kota.

Adapun UMP dan UMK Kalimantan Tengah 2024 ini akan digunakan sebagai dasar penentuan upah pekerja per 1 Januari 2024.

Besaran UMP Kalteng 2024 diputuskan berdasarkan surat keputusan Gubernur Kalimantan Tengah nomor 188.44/532/2023.

Dalam surat keputusan tersebut ditetapkan besaran UMP Kalteng 2024 sebesar Rp3.261.616.

Besaran UMP Kalteng 2024 ini naik 2,53 persen atau Rp80.600,51 dari UMP tahun 2023 sebesar Rp3.181.013.

Besaran UMK Kalteng 2024 diputuskan berdasarkan surat keputusan Gubernur Kalimantan Tengah nomor 188.44/552/2023.

Berikut adalah daftar lengkap besaran Upah Minimum Kabupaten/Kota tahun 2024 (UMK 2023) di Provinsi Kalimantan Tengah.

1. UMK Palangka Raya 2024 ditetapkan sebesar Rp3.310.004.

2. UMK Barito Timur 2024 ditetapkan sebesar Rp3.285.165.

3. UMK Barito Utara 2024 ditetapkan sebesar Rp3.662.312,14.

4. UMK Barito Selatan 2024 ditetapkan sebesar Rp3.595.397.

5. UMK Kapuas 2024 ditetapkan sebesar Rp3.261.700.

6. UMK Katingan 2024 ditetapkan sebesar Rp3.343.905.

7. UMK Kotawaringin Barat 2024 ditetapkan sebesar Rp3.474.797.

8. UMK Kotawaringin Timur 2024 ditetapkan sebesar Rp3.341.890.

9. UMK Lamandau 2024 ditetapkan sebesar Rp3.550.532.

10. UMK Murung Raya 2024 ditetapkan sebesar Rp 3.562.37.

11. UMK Pulang Pisau 2024 ditetapkan sebesar Rp3.268.756.

12. UMK Seruyan 2024 ditetapkan sebesar Rp3.634.451.

13. UMK Sukamara 2024 ditetapkan sebesar Rp3.489.521.

14. UMK Gunung Mas 2024 ditetapkan sebesar Rp3.328.175.

Sumber:disnakertrans.kalteng.go.id  tribunnews.com



"
SF9 Akan Comeback Tanggal 8 Januari 2024,"JAKARTA, KOMPAS.com - Boy group SF9 akan comeback pada tanggal 8 Januari 2024.

Selasa (5/12/2023) media lokal Korea Selatan mengabarkan SF9 akan mengeluarkan mini album ke-13.

Pihak FNC Entertainment mengonfirmasi kabar tersebut.

“SF9 akan comeback dengan mini album pada 8 Januari,"" kata FNC Entertainment, dilansir Soompi.

Yang akan berpartisipasi dalam comeback mendatang adalah tujuh member SF9 karena Jaeyoon saat ini sedang menjalani wajib militer.

Ini akan menandai rilisan baru pertama grup tersebut dalam waktu sekitar satu tahun.

Kali terakhir SF9 merilis mini album THE PIECE OF9 dengan lagu utama “Puzzle” pada bulan Januari awal tahun 2023.

Sebelumnya pada bulan September, diumumkan bahwa SF9 akan melanjutkan aktivitas dengan delapan member.

Rowoon memutuskan fokus pada aktivitas individu di masa mendatang.

Menyusul berita tersebut, Rowoon sempat menulis surat kepada para penggemar.

"
